Sort,Section,Fed,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
1,Main list,Cuba,Augusto Cesar Campos Jimenez,2351,2,1,9,12,89,77,Level A
2,Main list,Armenia,Artyom Manukyan,2148,2,1,16,5,69,64,Level A
3,Main list,Armenia,Haik M. Martirosyan,2622,2,2,26,12,69,57,Level B
4,Main list,Peru,Freddy Adrian Acevedo Chavez,1808,2,1,4,30,75,45,Level A
5,Main list,Canada,Razvan Preotu,2487,3,2,47,25,70,45,Level B
6,Main list,India,Kathpal Aniket,,2,2,32,22,66,44,Level B
7,Main list,Peru,Mario Oroche Mayta,1825,1,1,8,32,75,43,Level A
8,Main list,Czech Republic,Jan Nosek,1904,3,2,38,23,66,43,Level B
9,Main list,Peru,Wilder Xavier Roman Sanchez,1807,2,1,13,19,62,43,Level A
10,Main list,Peru,Renzo Jhonathan Rengifo Blancas,2131,3,3,30,27,67,40,Level B
11,Main list,France,Jean Lefrere,1710,2,2,26,30,69,39,Level B
12,Main list,France,Matthieu Rousseau,1867,2,1,28,28,64,36,Level B
13,Main list,India,Sanjay Kolgane Poras,1858,3,3,90,26,62,36,Level D
14,Main list,Bolivia,Jhoan Mollo,2073,2,2,5,24,60,36,Level A
15,Main list,Russia,Aleksey Sorokin,2521,3,3,68,25,60,35,Level D
16,Main list,India,Harshit Raja,2472,2,2,32,24,59,35,Level B
17,Main list,Chile,Eduardo Raul Verastegui Marca,1843,1,1,6,33,67,34,Level B
18,Main list,Cuba,Leancy B. Fernandez Bustamante,2080,1,1,15,33,67,34,Level A
19,Main list,Germany,Marharyta Khrapko,2049,2,1,73,25,58,33,Level D
20,Main list,Romania,Mihnea Costachi,2471,3,2,61,21,54,33,Level D
21,Main list,Mexico,Anastacia Antonia Lopez Sanchez,1775,2,1,40,31,63,32,Level B
22,Main list,United States of America,Rayan Taghizadeh,2311,2,2,37,30,62,32,Level B
23,Main list,Cuba,Abel Fabian Lopez Gonzalez,2379,3,3,65,26,58,32,Level D
24,Main list,France,Alexis Cahen,2140,3,2,43,24,56,32,Level B
25,Main list,United States of America,Kesav Viswanadha,2367,2,2,75,26,56,30,Level D
26,Main list,Kazakhstan,Alen Rakhimzhan,2273,3,3,63,30,59,29,Level D
27,Main list,United States of America,Sam Schmakel,2435,3,3,81,30,58,28,Level D
28,Main list,Egypt,Mohamed Mobark,,2,1,18,40,67,27,Level A
29,Main list,Chile,Carlos Alberto Castillo Rivera,1841,2,1,21,41,67,26,Level B
30,Main list,Greece,Grigorios Drakoulakos,2219,3,3,89,31,57,26,Level D
31,Main list,Slovakia,Svetlana Sucikova,2131,3,2,49,27,53,26,Level D
32,Main list,Armenia,Anna M. Sargsyan,2383,3,2,21,26,52,26,Level B
33,Main list,Indonesia,Arif Abdul Hafiz,2234,2,2,30,38,63,25,Level B
34,Main list,Indonesia,Shanti Nur Abidah,1986,2,2,49,34,59,25,Level B
35,Main list,Turkiye,Tuna Ozates,2217,2,2,26,33,58,25,Level B
36,Main list,,Lucas de Lacerda Ramos,,2,1,3,43,67,24,Level A
37,Main list,China,Yukun Wang,2117,1,1,16,39,63,24,Level A
38,Main list,Slovakia,Christopher Repka,2491,3,3,77,36,60,24,Level D
39,Main list,Peru,Brian Sebasti Escalante Ramirez,2454,2,2,15,36,60,24,Level A
40,Main list,Germany,Lars Goldbeck,2235,2,2,14,33,57,24,Level A
41,Main list,Uganda,Joshua Opoka,1631,3,2,22,36,59,23,Level B
42,Main list,Serbia,Milos Krstic,2058,1,1,32,27,50,23,Level B
43,Main list,Canada,Hou Han Zhang,1813,1,1,34,40,62,22,Level B
44,Main list,Peru,Christian Amilca Santiago Vilca,2257,3,3,49,37,59,22,Level B
45,Main list,FIDE,Aleksei Sarana,2649,2,2,42,33,55,22,Level C
46,Main list,,Xiangdong Kong,,3,3,103,31,52,21,Level C
47,Main list,Croatia,Luka Matanovic,2251,3,3,31,41,61,20,Level B
48,Main list,,Arpit Khanulia,,2,1,36,41,61,20,Level B
49,Main list,United States of America,Akshat Chandra,2536,3,3,87,36,56,20,Level D
