Sort,Section,Fed,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
1,Default,India,Tarun Bhargav Tokala,1025,1,0.5,50,13,60,47,Level D
2,Default,Russia,Alexey Smirnov,2436,7,7,211,22,64,42,Level D
3,Default,India,Vivek Watpade,1344,4,4,103,17,56,39,Level D
4,Default,Israel,Alexey Streltsov,2192,2,2,20,28,65,37,Level D
5,Default,Chile,Tomas Figueroa Morales,2093,7,6,155,30,63,33,Level D
6,Default,Russia,Evgeniy Suslov,2236,4,4,118,29,59,30,Level D
7,Default,Germany,Jarno Scheffner,1969,2,2,44,36,64,28,Level D
8,Default,North Macedonia,Vladimir Trkaljanov,2096,7,6,161,31,58,27,Level D
9,Default,Venezuela,Juan Marcos Polanco Colina,1729,1,1,31,28,55,27,Level D
10,Default,Ukraine,Igor Yarmonov,2391,10,7,353,32,56,24,Level D
11,Default,Poland,Lukasz Nowak,2265,11,8.5,347,34,57,23,Level D
12,Default,Poland,Marcin Molenda,2349,11,10,459,37,59,22,Level D
13,Default,India,Gangolli Kishan,2128,7,3,186,32,54,22,Level D
14,Default,Hungary,Gabor Acs,1977,6,5,144,38,59,21,Level D
15,Default,Spain,Gavril Draghici Flutur,2072,6,5.5,240,34,55,21,Level D
16,,,,,2,2,114,36,56,20,Level D
17,Default,Israel,Arkady Shevelev,2280,6,4.5,208,34,54,20,Level C
18,Default,Russia,Stanislav Babarykin,2387,11,8,339,35,54,19,Level C
19,Default,Poland,Pawel Piekielny,2098,11,7,483,33,52,19,Level C
20,Default,Turkiye,Huseyin Sahin,1788,7,4,207,39,57,18,Level D
21,Default,Poland,Marcin Tazbir,2513,9,7,238,35,53,18,Level C
22,Default,Kazakhstan,Serik Soltanov,2266,7,5,232,32,50,18,Level C
23,Default,Germany,Georg Braun,2375,6,4.5,368,33,50,17,Level C
24,Default,FIDE,Andrei Obodchuk,2299,7,5.5,316,37,53,16,Level C
25,Default,Ukraine,Sergey Grigorchuk,2213,6,4.5,205,36,52,16,Level C
26,Default,Philippines,Darry Bernardo,2114,6,5,192,38,53,15,Level D
27,Default,Hungary,Samuel Attila Szilagyi,1912,1,1,17,38,53,15,Level C
28,Default,Panama,Jesus Camilo Osorio,1859,7,4.5,229,35,50,15,Level C
29,Default,Ukraine,Oleksandr Sovetov,2022,6,5,221,39,53,14,Level C
30,Default,FIDE,Sergey Tsapalin,1943,7,4,307,37,51,14,Level C
31,Default,Cuba,Alberto D. Interian Rodriguez,2119,4,4,117,35,49,14,Level C
32,Default,Armenia,Sargis Sargissyan,2269,7,6.5,215,44,57,13,Level D
33,Default,Colombia,Gildardo Molina,1998,7,6,216,40,53,13,Level C
34,Default,Poland,Mateusz Lapaj,2216,2,1,53,52,64,12,Level D
35,Default,Romania,Costica Marchidan,1770,6,4.5,156,42,54,12,Level D
36,Default,Argentina,Leonel Amato,2100,6,3.5,208,42,54,12,Level D
37,Default,Philippines,Arman Subaste,1894,5,3.5,186,40,52,12,Level C
38,Default,Vietnam,Thi Hong Nguyen,1124,3,3,117,40,52,12,Level C
39,Default,Kazakhstan,Adilkhan Kozhabekov,2080,7,5.5,215,41,52,11,Level C
40,Default,Germany,Michael Becker,2267,5,5,141,45,55,10,Level D
