Sort,Section,Fed,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
1,Open,Libya,"Abdalhakeem A. Alkortabi,",1648,5,4,112,21,68,47,Level D
2,Open,Angola,Lutuima Amaro,2050,7,4,260,54,47,-7,Level A
3,Girls,Angola,Luzia Pires,1752,7,5.5,256,53,45,-8,Level A
4,Girls,,Masaiti Besa,1768,7,4,317,54,45,-9,Level A
5,Open,South Africa,Emil Schnabel,1744,7,5,249,55,44,-11,Level A
6,Open,Madagascar,Razanadrakotoarisoa Toavina,2028,7,5,162,60,48,-12,Level A
7,Girls,Egypt,Yara Allam,1752,7,6.5,231,59,46,-13,Level A
8,Open,,Dante M Beukes,2206,7,6,222,57,40,-17,Level A
9,Open,Tunisia,Barrani Adem,1396,7,3,182,65,47,-18,Level A
10,Open,,Desire Machinya,1638,7,4,236,60,40,-20,Level A
11,Open,Malawi,Praise Kalambo,,7,1,299,65,39,-26,Level A
12,Girls,Angola,Ednasia Júnior,1808,6,3,225,60,32,-28,Level A
13,Open,Madagascar,Rajoarimanana Fanahy Fortunat,1303,6,1,268,72,43,-29,Level A
14,Open,Cape Verde,ILIANO SANTOS,1419,7,3,165,73,42,-31,Level A
15,Girls,South Africa,Laurie Ann Shaw,1408,7,6,243,72,39,-33,Level A
16,Open,Egypt,Paula Emil Alexan,1404,7,3,203,79,44,-35,Level A
17,Open,Mauritania,Mohamed Abderehman,,6,1,134,73,35,-38,Level A
18,Girls,Cape Verde,LOEDI GOMES,,6,2,142,79,40,-39,Level A
19,Girls,Tunisia,Ayed Ranim,1372,6,2,196,93,46,-47,Level A
20,Girls,Morocco,Hiba Laghmari,,6,2,134,122,30,-92,Level A
21,Girls,Malawi,CHARITY TADEYO,1076,6,2,137,137,37,-100,Level A
22,Girls,Namibia,Penny Campbell,1095,6,2,150,132,32,-100,Level A
23,Girls,Libya,Masrah Abdulhafid Abudher,,6,0,126,165,32,-133,Level A
