Sort,Section,Fed,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
1,Open,India,P Iniyan,2506,7,5.5,182,38,54,16,Level A
2,Girls,China,Tianqi Yan,2207,7,5,254,39,54,15,Level A
3,Open,India,Neelash Saha,2413,7,5,330,44,54,10,Level A
4,Open,Iran,Mahdi Gholami Orimi,2428,7,5.5,212,50,56,6,Level A
5,Open,Kazakhstan,Alrami Aldabergenov,2242,7,3.5,286,44,50,6,Level A
6,Girls,India,Nutakki Priyanka,2263,7,5,270,47,51,4,Level A
7,Girls,Sri Lanka,THD Niklesha Tharushi,1712,7,3.5,212,47,50,3,Level A
8,Girls,Iran,Anousha Mahdian,2212,7,4.5,269,47,49,2,Level A
9,Girls,Iran,Mitra Asgharzadeh,1978,7,4,232,49,50,1,Level A
10,Open,,Arash Daghli,2431,7,4.5,312,50,50,0,Level A
11,Girls,China,Xiao Zhang,2091,7,5.5,252,47,47,0,Level A
12,Open,,Gan-Erdene Sugar,2419,7,4.5,278,46,46,0,Level A
13,Girls,Kyrgyzstan,Asel Lesbekova,1920,7,4,210,51,50,-1,Level A
14,Girls,Philippines,Jarel Renz Lacambra,1613,7,4.5,377,50,49,-1,Level A
15,Open,Indonesia,Gilbert Elroy Tarigan,2149,7,4.5,257,48,47,-1,Level A
16,Open,China,Chao Sun,2089,7,3.5,279,45,44,-1,Level A
17,Girls,Vietnam,Bach Ngoc Thuy Duong HCM,2271,7,4,271,55,52,-3,Level A
18,Girls,Iran,Anahita Zahedifar,2213,7,3,256,51,48,-3,Level A
19,Girls,China,Yunshan Li,2262,7,4.5,313,50,47,-3,Level A
20,Open,Philippines,Paul Matthew Llanillo,1726,7,3,180,55,51,-4,Level A
21,Open,India,Sankalp Gupta,2429,7,5.5,156,53,49,-4,Level A
22,Open,Mongolia,Ganzorig Bulgankhan,2017,7,4,259,59,54,-5,Level A
23,Open,Iran,Mehdi Nikookar,2239,7,3,193,56,49,-7,Level A
24,Open,,Ranindu Dilshn Liyanage,2178,7,4,242,56,47,-9,Level A
25,Open,Sri Lanka,G M H Thilakarathne,2398,7,3,264,60,48,-12,Level A
26,Open,,Biswas Subrota,2265,7,5,225,63,50,-13,Level A
27,Girls,India,Ghosh Samriddhaa,1910,7,3.5,271,61,48,-13,Level A
28,Girls,India,Kalyani B,1660,7,4,188,62,48,-14,Level A
29,Open,India,Moksh Amit Doshi,2332,7,4,216,61,47,-14,Level A
30,Girls,,Chua Jia-Tien Chua,1822,7,4,229,58,44,-14,Level A
31,Open,Palestine,Yazan Abo Khalaf,1688,7,2,235,58,43,-15,Level A
32,Girls,Australia,Lillian LU,1791,7,2.5,250,64,48,-16,Level A
33,Girls,,Tasnim Kazi Zarin,1667,7,3,230,60,44,-16,Level A
34,Open,India,Arjun Gupta,1932,7,3,281,60,44,-16,Level A
35,Open,Sri Lanka,RKT Dissanayake,1965,7,4,252,62,45,-17,Level A
36,Open,Kyrgyzstan,Ruslan Sezdbekov,2232,7,3,254,61,43,-18,Level A
37,Open,Maldives,Ismail Reehan Saeed,1521,7,2,288,67,48,-19,Level A
38,Open,Australia,Albert WINKELMAN,2294,7,4,217,65,45,-20,Level A
39,Girls,India,Agrawal Vantika,2286,7,3.5,405,62,40,-22,Level A
40,Girls,Philippines,Kylen Joy Mordido,2014,7,5,210,73,49,-24,Level A
41,Open,"Hong Kong, China",Nirag Shah Arya,1909,7,2.5,267,64,39,-25,Level A
42,Girls,Mongolia,Naran-Erdene Naranbaatar,2055,7,3.5,291,69,42,-27,Level A
43,Open,Guam,Daniel Doria,,6,1,210,74,46,-28,Level A
44,Girls,Sri Lanka,GW Nethmi L Fernando,1745,7,2,188,74,42,-32,Level A
45,Girls,Kyrgyzstan,Aiperi Mairambekova,1561,7,3.5,263,73,36,-37,Level A
46,Girls,United Arab Emirates,Rayan Mohammad Ali Hassan,1479,6,1,178,76,38,-38,Level A
47,Girls,,Nour Assoum,,7,3,250,74,35,-39,Level A
48,Open,Malaysia,Jun Ying Tan,2165,7,2.5,296,87,47,-40,Level A
49,Girls,Guam,Grace Co Estur,1472,7,1,164,91,43,-48,Level A
50,Girls,Maldives,Aishath Himya Ibrahim Mujah,,7,2,137,101,36,-65,Level A
51,Open,Guam,Tuazon Marion Mikaelo,1649,7,1,171,108,37,-71,Level A
52,Girls,Yemen,Afnan Abdel Hakim Al-Sebaei,,6,1,25,270,24,-246,Level A
53,Open,Lebanon,Giorgio Kaloust,1913,3,0,0,0,0,,Level A
54,Open,Yemen,Yaser Ali Wajih,1580,2,0,0,0,0,,Level B
