Sort,Section,Fed,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
1,Girls,Russia,Elizaveta Solozhenkina,2271,7,6,209,38,58,20,Level A
2,Open,Slovakia,Samir Sahidi,2407,7,5.5,343,35,53,18,Level A
3,Open,Israel,Or Globus,2399,7,4,252,44,61,17,Level A
4,Open,Germany,Luis Engel,2553,7,4.5,284,39,51,12,Level A
5,Open,Romania,MIRCEA TALU,2386,7,4,354,44,54,10,Level A
6,Girls,Bulgaria,Gergana Peycheva,2257,7,5.5,257,44,53,9,Level A
7,Open,Italy,Francesco Sonis,2483,7,6,311,40,49,9,Level A
8,Open,Spain,Gabriel Quispe Arteaga,2397,7,2.5,305,45,52,7,Level A
9,Open,Norway,Tor Fredrik Kaasen,2381,7,4,248,44,51,7,Level A
10,,,,2407,7,3.5,275,46,52,6,Level A
11,Open,Armenia,Armen Ar. Barseghyan,2362,7,4.5,229,46,52,6,Level A
12,Girls,Poland,Maria Malicka,2291,7,3.5,323,45,50,5,Level A
13,Open,Georgia,Nikoloz Petriashvili,2425,7,5.5,215,44,49,5,Level A
14,Open,Belarus,Viachaslau Zarubitski,2448,7,4.5,235,44,48,4,Level A
15,Open,Slovenia,Domen Tisaj,2287,7,3.5,240,52,54,2,Level A
16,Open,,Shant Sargsyan,2596,7,5.5,251,51,53,2,Level A
17,Open,Armenia,Artur Davtyan,2466,7,4.5,304,48,50,2,Level A
18,Girls,Germany,Lara Schulze,2285,7,5,242,51,52,1,Level A
19,Girls,Romania,Denisa-Andreea Bucur,2063,7,3,298,48,49,1,Level A
20,Girls,Switzerland,Gohar Tamrazyan,1802,7,2.5,330,41,42,1,Level A
21,Open,Serbia,Velimir Ivic,2581,7,4,254,48,48,0,Level A
22,Open,Russia,Vitaly Gurvich,2230,7,4.5,311,52,51,-1,Level A
23,Open,Hungary,Adam Kozak,2518,7,5,267,48,47,-1,Level A
24,Open,Austria,Felix Blohberger,2469,7,5,199,53,51,-2,Level A
25,Open,Russia,Yaroslav Remizov,2385,7,4,230,51,49,-2,Level A
