Sort,Section,Fed,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
1,Open,India,Rajkhowa Mrinmoy,1547,10,6.5,409,36,52,16,Level A
2,Open,Malaysia,Ern Jie Anderson Ang,1910,4,2,178,38,52,14,Level D
3,Open,Iran,Sina Movahed,1804,9,8,389,43,55,12,Level A
4,Open,United States of America,Ryo Chen,2165,4,2,132,40,49,9,Level D
5,Open,Russia,Aleksandr E. Usov,2011,2,0.5,51,54,53,-1,Level D
6,Open,Czech Republic,Vaclav Finek,2361,10,6.5,516,46,45,-1,Level A
7,Open,United States of America,Andy Woodward,1975,9,5,340,54,51,-3,Level A
8,Open,Bangladesh,Reja Neer Manon,2197,3,1,127,50,46,-4,Level D
9,Open,,Aaron Reeve Mendes,1520,5,2,181,52,47,-5,Level D
10,Girls,Iran,Melika Mohammadi,1745,4,2.5,140,56,50,-6,Level D
11,Open,Russia,Ivan Zemlyanskii,1950,2,0,70,65,56,-9,Level D
12,Open,Chile,Mauricio Emmanuel Marrujo Pardo,1857,2,0.5,79,55,46,-9,Level D
13,Girls,United States of America,Omya Vidyarthi,1709,9,8,272,55,44,-11,Level A
14,Open,China,Miaoyi Lu,2244,4,2,110,60,48,-12,Level D
15,Girls,France,Emilie Alfano,1621,4,2.5,230,57,45,-12,Level D
16,Girls,,Shreya G Hipparagi,1273,5,3,203,56,41,-15,Level D
17,Open,,Shaun Levitan,1520,2,0,78,65,49,-16,Level D
18,Girls,Poland,Wiktoria Smietanska,2013,4,1.5,195,53,37,-16,Level D
19,Girls,United States of America,J S,,2,0.5,123,52,33,-19,Level D
20,Girls,Kazakhstan,Elnaz Kaliakhmet,1426,9,6,379,65,41,-24,Level A
21,Girls,Russia,Diana Preobrazhenskaya,1629,9,6.5,380,69,41,-28,Level A
22,Girls,Russia,Victoria Merkulova,1559,2,0,122,67,39,-28,Level D
23,Open,South Africa,Raphael Felix,1308,2,0,87,78,43,-35,Level D
24,Open,Turkiye,Uygar Durucay,1616,2,0,53,80,43,-37,Level D
25,Open,Egypt,Mohamed Adham Hossam,1482,2,0,47,75,34,-41,Level D
26,Girls,Bolivia,Iris Nicole Mollo Figueroa,1141,2,0,52,85,42,-43,Level D
27,Girls,Iran,Maedeh Yousefian,1471,3,1,111,80,35,-45,Level D
28,Girls,Azerbaijan,Saadat Bashirli,1320,9,3.5,323,83,34,-49,Level A
29,Girls,Morocco,Lilya Chemaou,,2,0,38,95,42,-53,Level D
30,Girls,Egypt,Salma Hawas,1137,2,0,36,99,36,-63,Level D
31,Girls,Brazil,Esther Zilli Ramazzotte,1155,2,0,83,99,34,-65,Level D
32,Girls,Algeria,Naila Nour Ramoul,1334,2,0,85,101,34,-67,Level D
