Sort,Section,Fed,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
1,Category D,Thailand,Nina Tuorila,1280,7,5,130,29,60,31,Level A
2,Category B,China,Xiao Zhang,2091,10,7.5,390,42,54,12,Level C
3,Category A,India,Eesha Karavade,2345,3,2.5,140,39,51,12,Level C
4,Category C,,Khushi Choksi,1576,11,5,298,51,52,1,Level C
5,Category D,,Vaishnavi R Rao,1159,11,8,426,46,44,-2,Level B
6,Category B,India,Srimathi R,1944,11,7,482,51,47,-4,Level B
7,Category D,Jordan,Lana Haymoor,1342,11,6,182,55,49,-6,Level B
8,Category B,Uzbekistan,Yuliya Khegay,1848,11,6,323,54,48,-6,Level B
9,Category B,India,Anusha N L V,2030,11,7,458,53,47,-6,Level B
10,Category B,Indonesia,Dita Karenza,2026,11,6.5,415,55,48,-7,Level B
11,Category A,Kazakhstan,Assel Serikbay,2228,9,3.5,402,57,46,-11,Level B
12,Category A,China,Tianqi Yan,2207,11,7.5,398,56,45,-11,Level B
13,Category C,Kazakhstan,Elnaz Kaliakhmet,1528,11,9,423,55,44,-11,Level B
14,Category D,Palestine,Eman Sawan,1000,11,7,450,56,44,-12,Level A
15,Category A,Kazakhstan,Gulmira Dauletova,2257,10,4.5,382,55,43,-12,Level B
16,Category B,Kazakhstan,Alua Nurmanova,2093,11,9,477,53,41,-12,Level A
17,Category A,China,Miaoyi Lu,2244,11,5,391,61,48,-13,Level B
18,Category D,Kyrgyzstan,Aiana Abaeva,1444,11,6.5,374,55,42,-13,Level A
19,Category D,India,Anjana Devi G,1272,11,6,408,54,40,-14,Level A
20,Category D,Bangladesh,Khusbu Warsia,1423,11,6,255,61,46,-15,Level B
21,Category A,Kazakhstan,Xeniya Balabayeva,2116,10,5,476,59,44,-15,Level B
22,Category C,Iran,Melika Mohammadi,1745,11,7.5,413,58,43,-15,Level A
23,Category D,Mongolia,Khuslenzaya Baldanjantsan,1381,11,7,434,63,47,-16,Level B
24,Category B,Philippines,Bernadette Galas,2065,11,6,407,62,46,-16,Level B
25,Category C,Uzbekistan,Maftuna Bobomurodova,1640,8,4,173,64,47,-17,Level B
26,Category B,India,Ghosh Samriddhaa,1910,10,5.5,370,60,43,-17,Level A
27,Category C,,Udval Enkhsaikhan,1710,11,6,371,64,46,-18,Level B
28,Category D,,Gupta Aadya,1211,11,7.5,407,64,46,-18,Level B
29,Category A,Singapore,Qianyun Gong,2347,11,8,429,64,46,-18,Level B
30,Category A,India,Jyothsna L,2112,10,4.5,414,63,45,-18,Level B
31,Category D,Kazakhstan,Nursulu Orazalina,1355,11,6,395,56,38,-18,Level A
32,Category B,Mongolia,Davaakhuu Munkhzul,1991,11,6,403,65,46,-19,Level B
33,Category A,Indonesia,Medina Warda Aulia,2360,11,7,410,64,45,-19,Level B
34,Category D,Mongolia,Enerel Ariunbold,1228,11,7,409,59,39,-20,Level A
35,Category C,,Lauren Rice,1558,11,5,405,66,45,-21,Level B
36,Category D,Jordan,Maya Erani,1183,11,5.5,401,65,44,-21,Level A
37,Category C,Syria,Roula Mahmoud,1765,11,5,390,64,43,-21,Level A
38,Category A,India,Vantika Agrawal,2286,11,8,340,63,42,-21,Level A
39,Category D,Singapore,Kay Yan Eden Pang,1383,11,7,377,61,40,-21,Level A
40,Category A,India,Sagar Tejaswini,2166,10,2.5,412,72,50,-22,Level C
41,Category A,India,Savitha Shri B,2281,11,5.5,393,67,45,-22,Level B
42,Category B,Kyrgyzstan,Aleksandra Samaganova,1993,10,4,362,68,44,-24,Level B
43,Category B,Iran,Vesal Hamedi Nia,1980,11,6.5,394,67,43,-24,Level A
44,Category B,India,Suresh Ananya,1916,11,6,349,73,48,-25,Level B
45,Category C,India,Janhavi Soneji,1706,11,5,259,70,45,-25,Level B
46,Category D,,Tenuli Dhahamna Rathnayake,1184,11,7,289,68,43,-25,Level A
47,Category D,India,Sritama Sen,1277,11,8,352,66,41,-25,Level A
48,Category D,Sri Lanka,Nemindi Linaya Ramanayake,1345,11,7,362,64,39,-25,Level A
49,Category A,Iran,Anahita Zahedifar,2213,9,1.5,366,71,45,-26,Level B
50,Category D,,Riddhika Kotia - India,1285,11,7.5,347,68,42,-26,Level A
51,Category C,Japan,Azumi Sakai,1731,10,5.5,328,67,41,-26,Level A
52,Category D,Indonesia,Shafira Devi Herfesa,1000,11,9,335,73,46,-27,Level A
53,Category D,,NAPAT KHANTREE,1201,11,5.5,366,69,42,-27,Level A
54,Category A,China,Lanlin Zhang,2135,10,5.5,353,68,41,-27,Level A
55,Category D,Philippines,April Joy Claros,1483,11,8.5,368,71,43,-28,Level A
56,Category C,Philippines,Francois Marie Magpily,1757,11,8,440,71,43,-28,Level A
57,Category D,India,Kazmi Daanish Sheen,1103,11,5,355,70,42,-28,Level A
58,Category D,Sri Lanka,Piyumi Uthpala Amarathunga,1000,9,3,236,69,41,-28,Level A
59,Category B,,Chua Jia-Tien Chua,1822,11,6,407,74,45,-29,Level B
60,Category B,China,Yu A. Hu,2094,11,4.5,341,73,44,-29,Level B
61,Category B,Kyrgyzstan,Begimai Zairbek Kyzy,1921,10,5,353,71,42,-29,Level B
62,Category C,Sweden,M.s. Harshavardhini,1559,10,3,377,71,42,-29,Level A
63,Category C,Kazakhstan,Aisha Zakirova,1585,11,8,410,71,42,-29,Level A
64,Category D,Sri Lanka,Devindya Oshini Gunawardhana,1373,11,9,382,68,39,-29,Level A
