Sort,Section,Fed,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
1,Category D,Turkiye,Zeren Haktanirlar,1294,10,7,261,45,47,2,Level D
2,Category B,Turkiye,Cisel Anacoglu,1924,8,1,152,49,48,-1,Level B
3,Category A,Denmark,Esmat Susanne Guindy,2100,6,2,199,50,47,-3,Level B
4,Category A,Italy,Olga Zimina,2348,7,5,173,56,50,-6,Level C
5,Category B,England,Zoe Varney,1917,8,4.5,243,56,47,-9,Level B
6,Category A,Switzerland,Monika Mueller-Seps,2237,6,2.5,188,54,44,-10,Level A
7,Category A,Czech Republic,Eliska Richtrova,2186,7,4.5,238,59,48,-11,Level B
8,Category A,Czech Republic,Olga Sikorova,2215,7,5,258,60,48,-12,Level B
9,Category D,England,Lindsay Pyun,1000,11,6,351,54,41,-13,Level A
10,Category A,Ukraine,Maryana Huda,2128,7,4.5,186,60,45,-15,Level B
11,Category B,Georgia,Lile Koridze,2016,9,8.5,264,57,42,-15,Level A
12,Category D,England,Anusha Subramanian,1000,11,8,399,61,44,-17,Level B
13,Category D,Greece,Evgenia Valeria Platsaki,1201,11,6,276,58,41,-17,Level A
14,Category C,Azerbaijan,Aytaj Heydarova,1747,9,7,322,64,46,-18,Level B
15,Category A,Azerbaijan,Sabina Ibrahimova,2213,7,4,189,59,41,-18,Level A
16,Category B,Romania,Andreea-Cristina Nastase,2074,9,4.5,306,65,46,-19,Level B
17,Category B,Italy,Gaia Paolillo,2069,9,4.5,287,62,43,-19,Level A
18,Category D,Turkiye,Arya Aydogan,1155,11,7.5,405,62,43,-19,Level A
19,Category C,Greece,Maria Tsakona,1576,9,8,226,61,42,-19,Level A
20,Category D,Turkiye,Ela Bursali,1274,10,6,295,58,39,-19,Level A
21,Category B,Czech Republic,Anna Marie Koubova,2089,9,4.5,296,56,37,-19,Level A
22,Category B,Belgium,Marigje Degrande,1902,9,5,300,67,47,-20,Level B
23,Category D,England,Rebecca Correa,1000,11,5,247,63,43,-20,Level A
24,Category B,England,Kamila Hryshchenko,2048,9,7,287,61,41,-20,Level A
25,Category D,Georgia,Mariam Tsetskhladze,1477,11,7,290,70,48,-22,Level B
26,Category C,Scotland,Alice Lampard,1763,9,5.5,359,63,41,-22,Level A
27,Category D,England,Olga L Latypova,1194,11,6,349,61,39,-22,Level A
28,Category D,Turkiye,Deniz Karasakal,1490,11,6.5,436,66,43,-23,Level A
29,Category D,England,Elis Denele Dicen,1379,10,7,435,62,37,-25,Level A
30,Category A,Denmark,Oksana Kryger,2105,6,1.5,101,71,45,-26,Level B
31,Category B,Switzerland,Gohar Tamrazyan,1892,8,2.5,320,71,44,-27,Level A
32,Category D,Turkiye,Defne Senkal,1230,11,6,311,71,44,-27,Level A
33,Category B,Georgia,Tamari Esadze,1921,9,6.5,357,78,50,-28,Level C
34,Category B,England,Audrey Kueh,2080,9,5,264,77,48,-29,Level C
35,Category D,England,Alisha Vyas,1282,11,7,326,68,39,-29,Level A
36,Category D,Slovakia,Natalia Szotkovska,1000,10,4.5,186,73,43,-30,Level B
37,Category B,Ireland,Lara Putar,1930,9,5,299,71,41,-30,Level A
38,Category C,Austria,Lea Stadlinger,1620,9,5,191,73,42,-31,Level A
39,Category A,Ireland,Trisha Kanyamarala,2180,6,3,227,72,41,-31,Level A
40,Category B,England,Louise Head,2090,9,7,346,71,40,-31,Level A
41,Category D,Greece,Vaia Tsekoura,1468,11,8.5,377,71,39,-32,Level A
42,Category C,England,Agnieszka Milewska,1677,2,0,84,76,43,-33,Level A
43,Category B,Belgium,Diana Musabayeva,1873,9,5,223,75,42,-33,Level A
44,Category C,England,Karin Silvana Bayona,1793,6,2,240,68,35,-33,Level A
45,Category D,England,Shambavi Hariharan,1000,11,7.5,356,68,35,-33,Level A
46,Category C,England,Hambel M Willow,1595,9,4.5,353,73,39,-34,Level A
47,Category C,Italy,Anna Dentale,1730,9,6,314,73,39,-34,Level A
48,Category D,England,Mae Katelyn Rose Catabay,1215,11,8.5,352,79,44,-35,Level A
49,Category B,England,Petra Fink-Nunn,1966,8,1.5,207,77,40,-37,Level A
50,Category A,Croatia,Anamarija Radikovic,2110,6,2,174,75,38,-37,Level A
51,Category C,Greece,Virginia Psoma,1538,9,4,277,80,42,-38,Level A
52,Category B,Scotland,Ali Roy,1878,8,2.5,243,74,36,-38,Level A
53,Category B,England,Meri Grigoryan,2044,9,4,276,82,43,-39,Level A
54,Category D,Belgium,Lotus Decraene,1263,11,6,310,81,41,-40,Level A
55,Category D,Turkiye,Yagmur Bolu,1499,11,6.5,261,77,37,-40,Level A
