Sort,Section,Fed,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
1,Team final,Georgia,Tamari Esadze,1921,9,7,355,35,56,21,Level D
2,Team final,Kazakhstan,Nazerke Nurgali,2217,9,7.5,329,52,51,-1,Level C
3,Team final,Indonesia,Dita Karenza,2026,9,6.5,315,49,47,-2,Level B
4,Team final,Ecuador,Analia Karen Miranda Vargas,1520,9,7,195,52,48,-4,Level B
5,Team final,Georgia,Anastasia Kirtadze,1719,10,6.5,386,51,43,-8,Level B
6,Team final,Argentina,Candela Be Francisco Guecamburu,2034,9,8,269,57,43,-14,Level A
7,Team final,Ecuador,Martha L. Fierro Baquero,2359,9,6,302,66,50,-16,Level C
8,Team final,Brazil,Julia Alboredo,2182,9,6,279,65,47,-18,Level B
9,Team final,Georgia,Mariam Tsetskhladze,1477,10,8.5,277,62,44,-18,Level A
10,Team final,Botswana,Masaiti Besa,1708,9,4,261,70,48,-22,Level B
11,Team final,India,Pournami S,1276,10,7,289,66,44,-22,Level A
12,Team final,Argentina,Anapaola S. Borda Rodas,2162,9,5.5,333,63,41,-22,Level A
13,Team final,Indonesia,Medina Warda Aulia,2360,9,5,323,67,44,-23,Level A
14,Team final,India,Rebecca Jesumarian,1589,10,6,254,66,43,-23,Level B
15,Team final,Indonesia,Shafira Devi Herfesa,1000,10,10,341,66,43,-23,Level A
16,Team final,Georgia,Lile Koridze,2016,9,5,315,69,44,-25,Level B
17,Team final,Brazil,Suzana Chang,2034,9,4,258,68,42,-26,Level A
18,Team final,Ecuador,Camila Estefania Palacios Gordillo,1270,10,5,392,69,42,-27,Level A
19,Team final,Argentina,Anna Laura Scarsi,1668,10,8,213,70,41,-29,Level A
20,Team final,Argentina,Daira Isis Veliz,1432,10,6,303,65,36,-29,Level A
21,Team final,India,Vantika Agrawal,2286,9,7,262,77,46,-31,Level B
22,Team final,Kazakhstan,Malika Japparbekova,1386,10,6,326,72,40,-32,Level A
23,Team final,Ecuador,Anahi Ortiz Verdezoto,2013,9,5.5,304,75,42,-33,Level A
24,Team final,England,Zoe Varney,1917,9,4,286,73,39,-34,Level A
25,Team final,Brazil,Gabriela Goes Da Cunha,1564,10,3.5,309,78,42,-36,Level A
26,Team final,England,Louise Head,2090,9,2,287,76,39,-37,Level A
27,Team final,Indonesia,Christine Elisabeth,1786,10,4.5,270,82,41,-41,Level A
28,Team final,India,Srimathi R,1944,9,5,295,79,37,-42,Level A
29,Team final,Kazakhstan,Elnaz Kaliakhmet,1528,10,7,242,83,40,-43,Level A
30,Team final,Uganda,Ivy Claire Amoko,1862,9,1,353,81,36,-45,Level A
31,Team final,Botswana,Onkemetse Francis,1787,9,0,269,84,35,-49,Level A
32,Team final,Uganda,Peninah Nakabo,1709,9,1,241,92,40,-52,Level A
33,Team final,Botswana,Moshoboro Arona,1329,10,4,313,86,33,-53,Level A
34,Team final,Brazil,Barbara Ribeiro Araujo,1497,10,3.5,387,89,35,-54,Level A
35,Team final,Kenya,Lucy Wanjiru,1619,10,0,309,95,40,-55,Level A
36,Team final,Uganda,Hannah Zion Mawejje,1000,10,0,258,90,34,-56,Level A
37,Team final,Botswana,Gabatshwarwe Refilwe,1798,10,3,282,96,37,-59,Level A
38,Team final,England,Nina Pert,1537,9,7,204,100,37,-63,Level A
39,Team final,England,Mae Katelyn Rose Catabay,1215,10,2.5,298,98,34,-64,Level A
40,Team final,Kenya,Elizabeth Cassidy Maina,1000,9,0,242,101,33,-68,Level A
41,Team final,Uganda,Christine Namaganda,1661,10,1.5,310,98,30,-68,Level A
42,Team final,Kenya,Madelta Glenda,1420,10,2.5,249,99,30,-69,Level A
