Sort,Section,Fed,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
1,Category D,Malawi,Linda Jambo,1426,5,1,20,60,50,-10,Level C
2,Category D,Botswana,Naledi Marape,1738,11,7,350,60,44,-16,Level A
3,Category D,Senegal,Khady Niang,,2,1,11,74,55,-19,Level B
4,Category D,Botswana,Laone Phoebe Moshoboro,1336,9,5,77,63,44,-19,Level A
5,Category D,Botswana,Ngwato Theresa,1204,11,6,128,71,45,-26,Level B
6,Category D,Malawi,Shriyan Santosh Priyasha,1597,11,10,360,67,41,-26,Level A
7,Category D,Botswana,Banda Natalie Katlo,1664,10,7,232,72,41,-31,Level A
8,Category D,Zimbabwe,Valentine Pasipanodya,1609,11,6,266,72,40,-32,Level A
9,Category D,Zimbabwe,Ndou Tatenda,1231,11,6.5,230,81,43,-38,Level A
10,Category D,Botswana,Thapelo Francis,1550,11,6.5,354,79,39,-40,Level A
11,Category D,Zimbabwe,Ropafadzo Dube,1398,11,6.5,291,81,39,-42,Level A
12,Category D,Kenya,Riya Shah,1559,11,10.5,319,78,36,-42,Level A
13,Category D,Kenya,Triza Mwendwa,1468,11,6,215,91,46,-45,Level B
14,Category D,Botswana,Onkemetse Francis,1777,11,7,267,90,42,-48,Level A
15,Category D,Sudan,Elizabeth Emile Nagib Tanyous,1377,11,5.5,302,91,36,-55,Level A
16,Category D,Kenya,Kosgey Sheila Jerop,1221,10,6,261,93,36,-57,Level A
17,Category D,Malawi,Tadeyo Charity,1144,9,4,77,84,27,-57,Level A
18,Category D,Botswana,Otisitswe Ruth,1525,10,5.5,351,95,37,-58,Level A
19,Category D,Malawi,Banda Tapiwa,1213,9,2,133,93,32,-61,Level A
20,Category D,Kenya,Matei Veronicah,1289,10,5,195,96,32,-64,Level A
21,Category D,Mauritius,Meritza Acham,1397,11,5,207,103,37,-66,Level A
22,Category D,Botswana,Moshoboro Arona,1555,11,7,301,100,34,-66,Level A
23,Category D,Sudan,Tayseer Mohammed,1410,11,5,130,99,33,-66,Level A
24,Category D,Mauritius,Chethanah Andhin,,11,8,311,108,35,-73,Level A
25,Category D,Botswana,Maya Otimile,1337,10,5,177,110,33,-77,Level A
26,Category D,Malawi,Kaliwo Tamara,,10,4,208,112,34,-78,Level A
27,Category D,Ghana,Christiana Naa Merley Ashley,1217,2,0,47,121,36,-85,Level D
28,Category D,Malawi,Desiderata Nkhoma,1465,8,5,140,119,34,-85,Level A
29,Category D,Ghana,Appau Abena Tiwaa,1103,8,2,87,118,32,-86,Level A
30,Category D,Zimbabwe,Ndlovu Blessing,1347,9,2,103,122,33,-89,Level A
31,Category D,Sudan,Hind Abdalla Hag Omer,,11,4,134,119,30,-89,Level A
32,Category D,Malawi,Royce Msiska,1250,10,4,83,131,41,-90,Level A
33,Category D,Ghana,Audrey Naa Amerley Aryiku,,3,0,18,138,39,-99,Level D
34,Category D,Mauritius,Manon Josephine Berger,,10,5,215,140,32,-108,Level A
35,Category D,Kenya,Vivian Muthoni,1128,10,5,127,153,39,-114,Level A
36,Category D,Mauritius,Heena Seetulpersand,,10,4,166,160,28,-132,Level A
37,Category D,Malawi,Susan Namangale,1247,10,1,77,175,34,-141,Level A
38,Category D,Sudan,Mary Raafat Shafig,,9,3,87,188,30,-158,Level A
39,Category D,Ghana,Kissiedu Khloe,,10,5,144,184,19,-165,Level A
40,Category D,Malawi,Moyo Bertha,,8,2,84,206,27,-179,Level A
41,Category D,Senegal,Ndeye Fatma Diop,,2,1,11,209,27,-182,Level B
42,Category D,Malawi,Magret Ngugama,1309,1,0,0,0,0,,Level D
43,Category D,Malawi,Dissi Alinafe,,1,0,0,0,0,,Level D
44,Category D,Malawi,Kamphale Olivia,,1,0,0,0,0,,Level D
