Sort,Section,Fed,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
1,Category A,Peru,Deysi Cori T.,2371,11,9,377,40,52,12,Level C
2,Category A,Colombia,Melissa Castrillon Gomez,2230,11,7.5,405,48,46,-2,Level B
3,Category D,Ecuador,Alejandra Nicole Cata Pallo,1561,5,2,94,57,52,-5,Level C
4,Category B,United States of America,Ashley Pang,1989,11,8.5,389,56,48,-8,Level B
5,Category D,Venezuela,Paola Natali Blanco Gascon,,10,8,250,55,47,-8,Level B
6,Category A,Brazil,Julia Alboredo,2264,11,8,416,62,51,-11,Level C
7,Category D,Brazil,Maria Eduarda Papini Gomes,1594,11,7,303,58,47,-11,Level B
8,Category A,United States of America,Ambica Yellamraju,1835,11,7,401,53,42,-11,Level A
9,Category A,United States of America,Sabina-Francesca Foisor,2208,10,5,468,58,45,-13,Level B
10,Category D,United States of America,Anika Rajaram,1499,11,9,323,61,47,-14,Level B
11,Category D,Panama,Mariana Esther Lobo Jimenez,1478,11,8,289,59,44,-15,Level A
12,Category B,Peru,Kate Azumi Bravo Mallco,1984,1,0,43,55,40,-15,Level A
13,Category D,Paraguay,Renata Mayeregger Gonzalez,1461,11,9,273,60,44,-16,Level B
14,Category D,,Laura Qiu,,11,7.5,355,58,42,-16,Level A
15,Category A,Colombia,Jenny Astrid Chirivi C,2157,11,4.5,405,57,41,-16,Level A
16,Category D,Brazil,Mitzi Vedan De Ramos,1565,11,7,225,68,50,-18,Level C
17,Category D,United States of America,Pranavi Pramod,,11,7,377,62,44,-18,Level A
18,Category D,,Esther Jou,,11,10,414,58,40,-18,Level A
19,Category D,Paraguay,Fiorella Mayeregger Gonzalez,1284,11,7,341,64,45,-19,Level B
20,Category B,Argentina,Anna Laura Scarsi,1815,11,8.5,426,62,43,-19,Level A
21,Category A,United States of America,Irina Krush,2430,11,7,386,66,45,-21,Level B
22,Category C,Panama,Ashley Alexandra Castillo Beitia,1668,11,7.5,432,64,43,-21,Level A
23,Category D,Chile,Valeska Rozas Lazcano,1551,11,9,441,60,39,-21,Level A
24,Category C,Ecuador,Kerly Danna Herrera Arboleda,1743,10,5,245,66,44,-22,Level A
25,Category A,United States of America,Anjelina Belakovskaia,2153,11,5.5,360,61,39,-22,Level A
26,Category D,,Chowdada Devanshi,,11,6,341,65,42,-23,Level A
27,Category D,Ecuador,Odalys Lisbeth Calderon Guerra,1418,11,8,348,64,40,-24,Level A
28,Category D,United States of America,Jenny Qi,,11,6,374,63,39,-24,Level A
29,Category D,Ecuador,Ariadna Estefania Orbe Vivero,1507,11,6.5,254,70,45,-25,Level B
30,Category D,Ecuador,Heidy Jurado Grefa,1369,11,7,238,68,43,-25,Level A
31,Category D,Brazil,Alice Lara Biasi Pavao,1354,11,5.5,354,67,41,-26,Level A
32,Category C,Ecuador,Veronica Priscila Orbe Vivero,1724,11,7,298,69,42,-27,Level A
33,Category D,Honduras,Alejandra Nicolle Garcia Reyes,1579,11,8,199,69,42,-27,Level A
34,Category D,Barbados,Chanon Reifer-Belle,1213,11,7,347,69,41,-28,Level A
35,Category D,Venezuela,Glaycell Daniela Velasquez Marin,1227,11,5.5,243,75,46,-29,Level B
36,Category B,El Salvador,Angie Garcia,1894,10,4.5,345,74,44,-30,Level A
37,Category B,Brazil,Thauane Ferreira Medeiros,1889,11,6.5,442,69,39,-30,Level A
38,Category C,United States of America,Aparna Yellamraju,1720,11,7,372,74,42,-32,Level A
39,Category A,Brazil,Juliana Sayumi Terao,2223,11,7,427,73,41,-32,Level A
40,Category D,Panama,Mariana Del Carmen Navarro Valdes,1337,9,5.5,287,73,41,-32,Level A
41,Category B,Venezuela,Marvia Josefina Alvarado Arcila,1931,6,1.5,197,70,38,-32,Level A
42,Category D,United States of America,Lulu Huang,1186,11,6.5,371,70,38,-32,Level A
43,Category D,Peru,Claudia Micaela Acuna Alarcon,1380,10,6.5,383,69,36,-33,Level A
44,Category C,Venezuela,Beatriz Elvira Noguera Da Almeida,1778,11,6.5,338,76,42,-34,Level A
