Sort,Section,Fed,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
1,Category A,Peru,Deysi Cori T.,2371,8,7,283,44,53,9,Level D
2,Category B,Turkmenistan,Lala Shohradova,1856,9,7.5,384,47,47,0,Level D
3,Category C,Panama,Ashley Alexandra Castillo Beitia,1668,9,5,290,47,46,-1,Level D
4,Category C,Iran,Sara Davari,1742,9,7,355,54,48,-6,Level D
5,Category B,Azerbaijan,Aysel Mammadova,1893,9,6.5,433,57,48,-9,Level D
6,Category A,China,Yuxin Song,2317,8,4.5,211,59,48,-11,Level D
7,Category A,Kazakhstan,Xeniya Balabayeva,2177,8,5,315,59,46,-13,Level D
8,Category D,United States of America,Esther Jou,,11,8.5,333,58,45,-13,Level D
9,Category B,Argentina,Anna Laura Scarsi,1815,9,5,363,58,45,-13,Level D
10,Category D,Singapore,Xiu Ning Charlene Mak,1573,11,8.5,456,56,43,-13,Level D
11,Category A,Colombia,Melissa Castrillon Gomez,2230,8,3.5,300,60,45,-15,Level D
12,Category D,China,Tianyu Jiang,1502,11,10,334,59,44,-15,Level D
13,Category C,Sri Lanka,K M Dahamdi Sanudula,1601,9,7,283,63,45,-18,Level D
14,Category C,Peru,Maria Teresa Jimenez Salas,1718,8,4,274,58,40,-18,Level D
15,Category B,Indonesia,Fariha Mariroh,1839,9,4,281,68,48,-20,Level D
16,Category D,Azerbaijan,Asnad Bakhshizada,1168,11,4.5,446,59,39,-20,Level D
17,Category A,Azerbaijan,Malak Ismayil,2001,8,4,308,68,46,-22,Level D
18,Category D,United States of America,Anika Rajaram,1499,11,5.5,382,65,43,-22,Level D
19,Category A,Italy,Tea Gueci,2266,8,3.5,300,66,43,-23,Level D
20,Category B,United States of America,Erin Bian,1811,9,5,362,66,43,-23,Level D
21,Category B,United States of America,Ashley Pang,1989,9,6,304,67,41,-26,Level D
22,Category B,Serbia,Milena Vujcic,1987,9,4.5,315,75,48,-27,Level D
23,Category D,Turkiye,Arya Aydogan,1471,11,5,334,68,40,-28,Level D
24,Category A,China,Ye Yuan,2108,8,5.5,188,72,43,-29,Level D
25,Category C,Austria,Zsofia Vicze,1749,9,5,258,67,38,-29,Level D
26,Category C,India,Pragnya H G,1579,9,4.5,307,77,46,-31,Level D
27,Category D,Chile,Valeska Rozas Lazcano,1551,11,6.5,426,71,40,-31,Level D
28,Category A,Turkiye,Duru Okuyaz,2090,8,1.5,295,77,44,-33,Level D
29,Category A,Brazil,Julia Alboredo,2264,8,1.5,285,75,41,-34,Level D
30,Category C,Ecuador,Veronica Priscila Orbe Vivero,1724,8,4,190,79,43,-36,Level D
31,Category B,Austria,Emilia Deak-Sala,1883,9,0.5,304,78,41,-37,Level D
32,Category B,Iran,Sahar Masoumi,1956,9,5.5,294,78,41,-37,Level D
33,Category D,India,Amulya Guruprasad,1236,11,6.5,348,75,38,-37,Level D
34,Category D,Serbia,Vera Vujovic,1353,11,5,396,77,39,-38,Level D
35,Category D,Malawi,Shriyan Santosh Priyasha,1597,11,3,392,73,33,-40,Level D
36,Category C,Scotland,Alice Lampard,1746,9,4,268,82,41,-41,Level D
37,Category D,Kenya,Riya Shah,1559,11,3,330,84,37,-47,Level D
38,Category B,Botswana,Onkemetse Francis,1777,9,0.5,265,81,34,-47,Level D
39,Category C,Austria,Lea Stadlinger,1723,8,1.5,254,93,39,-54,Level D
40,Category C,Zimbabwe,Valentine Pasipanodya,1609,6,0,3,57,0,-57,Level D
41,Category D,Mauritius,Chethanah Andhin,,11,0,298,104,36,-68,Level D
