Sort,Section,Fed,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
1,Open,Russia,Ian Nepomniachtchi,2782,13,9.5,324,21,63,42,Level D
2,Open,,Magnus Carlsen,2856,13,9.5,705,21,60,39,Level D
3,Open,India,Nihal Sarin,2662,13,7,510,27,62,35,Level D
4,Open,France,Maxime Vachier-Lagrave,2761,13,8.5,486,27,62,35,Level D
5,Open,Russia,Alexander Grischuk,2764,13,8.5,578,27,61,34,Level D
6,Open,Germany,Daniel Fridman,2626,13,7.5,532,27,59,32,Level D
7,Open,Uzbekistan,Nodirbek Abdusattorov,2633,13,9.5,517,30,61,31,Level D
8,Open,Germany,Rasmus Svane,2637,13,8,592,24,55,31,Level D
9,Open,United States of America,Fabiano Caruana,2792,13,9.5,423,32,62,30,Level D
10,Open,Azerbaijan,Shakhriyar Mamedyarov,2767,13,9,594,30,60,30,Level D
11,Open,England,David W L Howell,2646,13,8,458,28,58,30,Level D
12,Open,Spain,David Anton Guijarro,2693,13,7.5,452,32,61,29,Level D
13,Open,,Shant Sargsyan,2628,13,8,440,30,59,29,Level D
14,Open,United States of America,Grigoriy Oparin,2681,13,6,538,28,57,29,Level D
15,Open,Poland,Jan-Krzysztof Duda,2760,13,9,533,30,58,28,Level D
16,Open,Romania,Mircea-Emilian Parligras,2575,13,6.5,495,30,58,28,Level D
17,Open,Norway,Kristian Stuvik Holm,2464,13,5.5,520,27,55,28,Level D
18,Open,India,Gukesh D,2614,13,9,488,32,59,27,Level D
19,Open,Germany,Matthias Bluebaum,2642,13,8,537,31,58,27,Level D
20,Open,,Vadim Zvjaginsev,2599,13,6,486,31,58,27,Level D
21,Open,Ukraine,Andrei Volokitin,2677,13,8,506,30,57,27,Level D
22,Open,Spain,Alexei Shirov,2704,13,7,511,30,57,27,Level D
23,Open,United States of America,Levon Aronian,2772,13,9,502,30,57,27,Level D
24,Open,Israel,Boris Gelfand,2663,13,8,531,29,56,27,Level D
25,Open,Armenia,Robert Hovhannisyan,2643,13,7.5,559,28,55,27,Level D
26,Open,Russia,Vladislav Artemiev,2700,13,8,666,27,54,27,Level D
