Sort,Section,Fed,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
1,Open 10,"Hong Kong, China",Ziyang Jin,1185,10,7,356,33,60,27,Level D
2,Girls 18,Indonesia,Aurellia Vania Winanda,1784,10,6.5,420,33,52,19,Level C
3,Open 10,Vietnam,Duong Vu Anh,1513,10,7,392,36,52,16,Level C
4,Girls 18,England,Nadia Jaufarally,1905,10,6.5,325,42,56,14,Level D
5,Girls 18,Mongolia,Batkhishig Udval,1626,10,7,283,44,57,13,Level D
6,Girls 18,Vietnam,Ngoc Thuy Duong Bach,2198,10,9,356,38,51,13,Level C
7,Open 10,Kazakhstan,Mark Smirnov,1421,10,8.5,469,38,50,12,Level C
8,Girls 18,Azerbaijan,Laman Hajiyeva,2000,10,6,497,40,51,11,Level C
9,Open 10,India,Meesala Vamshi,1241,10,6.5,377,40,49,9,Level C
10,Open 10,Azerbaijan,Khagan Ahmad,1750,10,9,362,41,49,8,Level C
11,Open 10,United States of America,Jacob S Wang,1504,5,2,106,40,48,8,Level C
12,Open 10,Canada,Mendes Aaron Reeve,1520,10,7,301,39,47,8,Level C
13,Open 10,India,Darshan S,1712,10,6.5,431,38,45,7,Level C
14,Open 10,Vietnam,Manh Duc Nguyen,1552,10,6.5,611,42,47,5,Level B
15,Open 10,"Hong Kong, China",Shun Him Leung,1034,10,6.5,278,48,52,4,Level C
16,Girls 18,Georgia,Tamari Esadze,1921,10,7.5,338,51,54,3,Level C
17,Girls 18,Belarus,Aliaksandra Tarasenka,2061,10,8,385,48,50,2,Level C
18,Girls 18,India,Sai Divya M,1869,10,6,412,47,49,2,Level B
19,Open 10,Russia,Dmitriy Petukhov,1557,10,8,513,44,46,2,Level B
20,Open 10,United States of America,Rohan Rajaram,1530,9,6,432,43,45,2,Level B
21,Girls 18,Philippines,Alexandra Sydney Paez,1667,10,5,297,52,53,1,Level C
22,Girls 18,Vietnam,Tran Gia Thu Pham,1630,10,7.5,538,45,46,1,Level B
23,Open 10,Russia,Taimaz Temirbekov,1573,10,7.5,481,46,46,0,Level B
24,Open 10,,Davaadorj Altansoyombo,,10,6.5,364,54,53,-1,Level C
25,Open 10,India,Prajeesh B U,1159,10,6,376,51,50,-1,Level C
26,Open 10,Turkiye,Gokdeniz Ekmekcioglu,1451,10,5.5,447,50,49,-1,Level B
27,Open 10,,Ethan Vaz,1384,10,8,424,43,42,-1,Level B
28,Girls 18,Algeria,Lina Nassr,1970,10,6.5,353,53,51,-2,Level C
29,Open 10,Ukraine,Serhii Anuchyn,1227,10,5.5,332,46,44,-2,Level C
30,Girls 18,India,Chandratreya Prachiti,1998,10,6,419,50,47,-3,Level B
31,Girls 18,India,Arushi Kotwal,1854,10,5.5,406,54,50,-4,Level C
32,Girls 18,Spain,Adhara Rodriguez Redondo,2138,10,6,411,50,46,-4,Level B
33,Open 10,Cuba,Leandro Alvarez Alburquerque,1348,10,5.5,445,56,51,-5,Level C
34,Open 10,Switzerland,Dimitri Aeschbacher,1577,10,6.5,289,54,49,-5,Level B
35,Girls 18,Argentina,Anapaola S. Borda Rodas,2162,10,6,425,53,48,-5,Level B
36,Open 10,Georgia,Data Qalabegashvili,1308,10,5.5,440,51,46,-5,Level B
37,Open 10,Israel,Daniel Vardi,1202,10,6,435,50,45,-5,Level B
38,Girls 18,India,Sanjana Raghunath,1726,10,6,379,57,51,-6,Level C
39,Girls 18,Russia,Ekaterina Miroshnik,2234,10,7.5,378,55,49,-6,Level B
40,Open 10,United States of America,Aditeya Das,,8,3.5,339,51,45,-6,Level B
