Sort,Section,Fed,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
1,Girls 14,South Africa,Davida Strong,1282,2,2,56,19,61,42,Level D
2,Open 14,India,Raahil Mullick,2368,2,0.5,58,33,65,32,Level D
3,Open 14,Vietnam,Dinh Minh An,1701,4,3,160,30,60,30,Level D
4,Open 14,Turkiye,Ediz Gurel,2353,8,5,366,38,53,15,Level C
5,Girls 14,Russia,Valeria Kleymenova,2087,8,6,252,44,54,10,Level C
6,Girls 14,Kazakhstan,Alua Nurmanova,2221,2,0.5,94,50,54,4,Level C
7,Open 14,Slovenia,Rudi Olenik Campa,2144,2,0.5,71,50,51,1,Level C
8,Open 14,United States of America,Bach Ngo,2195,8,3.5,365,46,47,1,Level B
9,Open 14,India,Bharath Subramaniyam H,2435,4,2.5,158,48,45,-3,Level C
10,Open 14,Kazakhstan,Aldiyar Ansat,2396,9,6,449,49,45,-4,Level B
11,Open 14,Spain,Javier Habans Aguerrea,2318,4,2,163,49,45,-4,Level B
12,Girls 14,FIDE,Yana Zhapova,2196,5,2.5,213,48,44,-4,Level B
13,Open 14,Greece,Dimitrios Makridis,2256,2,0.5,85,57,51,-6,Level D
14,Open 14,India,Shahil Dey,2414,5,3,213,52,46,-6,Level B
15,Girls 14,Netherlands,Machteld Van Foreest,2161,3,1,91,60,53,-7,Level D
16,Girls 14,FIDE,Alexandra Shvedova,2025,9,5,413,54,44,-10,Level A
17,Open 14,Philippines,Wayne Ruiz,1584,2,0,75,58,47,-11,Level C
18,Open 14,Belarus,Mikhei Navumenka,2188,11,7,482,56,44,-12,Level B
19,Girls 14,Vietnam,Linh Dan Nguyen,1413,5,2.5,205,60,47,-13,Level B
20,Open 14,Netherlands,Arthur De Winter,1987,2,0.5,81,67,51,-16,Level D
21,Girls 14,Philippines,Jersey Marticio,1544,3,1,148,63,47,-16,Level B
22,Girls 14,United States of America,Ellen Wang,2088,9,5,250,66,49,-17,Level C
23,Girls 14,Peru,Fiorella Contreras Huaman,1937,2,0,60,65,47,-18,Level C
24,Girls 14,Ireland,Lara Putar,1930,4,2,113,65,46,-19,Level B
25,Girls 14,Hungary,Zsoka Gaal,2276,9,6,347,58,39,-19,Level A
26,Open 14,India,Arjun Sidharth S,1665,2,0,121,60,39,-21,Level B
27,Open 14,United States of America,Vyom Vidyarthi,2304,3,1,107,75,52,-23,Level C
28,Open 14,Indonesia,Cleon Amadeus Surya,1629,2,0,89,75,46,-29,Level C
29,Girls 14,Philippines,April Joy Claros,1544,5,2,141,70,40,-30,Level D
30,Girls 14,Malaysia,Kai Ni Agnes Chong,1892,2,0.5,63,71,32,-39,Level C
31,Girls 14,United States of America,Kelsey Liu,1628,2,0,41,93,51,-42,Level D
32,Girls 14,United States of America,Yesun Lee,1743,2,0,30,100,33,-67,Level D
