Sort,Section,Fed,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
1,Girls 16,Kazakhstan,Xeniya Balabayeva,2220,10,8,419,30,56,26,Level D
2,Girls 18,Vietnam,Ngoc Thuy Duong Bach,2198,10,7.5,343,33,58,25,Level D
3,Girls 14,Hungary,Zsoka Gaal,2362,10,6.5,437,38,53,15,Level C
4,Girls 12,United States of America,Alice Lee,2178,10,8,392,44,55,11,Level D
5,Girls 18,Georgia,Tamari Esadze,1972,10,5,371,40,49,9,Level C
6,Girls 12,Russia,Anna Shukhman,2014,10,7.5,368,45,50,5,Level C
7,Girls 18,Azerbaijan,Govhar Beydullayeva,2290,10,8,318,46,49,3,Level C
8,Girls 14,Russia,Valeria Kleymenova,2024,10,4,391,47,49,2,Level C
9,Girls 14,Vietnam,Linh Dan Nguyen,1413,10,5.5,441,47,49,2,Level B
10,Girls 16,Kazakhstan,Meruert Kamalidenova,2351,10,5,443,49,50,1,Level C
11,Girls 12,Georgia,Anastasia Kirtadze,1701,10,5,397,51,51,0,Level C
12,Girls 10,Sri Lanka,Devindya Oshini Gunawardhana,1371,10,6,319,55,53,-2,Level C
13,Girls 10,Iran,Rosha Akbari,1380,10,6,350,50,47,-3,Level B
14,Girls 14,India,Savitha Shri B,2281,10,3,483,52,48,-4,Level B
15,Girls 14,FIDE,Alexandra Shvedova,2065,10,5,353,53,48,-5,Level B
16,Girls 16,Russia,Veronika Shubenkova,1762,10,3.5,436,49,43,-6,Level B
17,Girls 14,Peru,Fiorella Contreras Huaman,1931,10,6,437,55,48,-7,Level B
18,Girls 16,Malaysia,Jia Ru Sim,2005,10,3,423,56,48,-8,Level B
19,Girls 18,Azerbaijan,Malak Ismayil,2058,10,5.5,364,59,49,-10,Level C
20,Girls 10,Russia,Diana Preobrazhenskaya,1789,10,8,327,60,49,-11,Level C
21,Girls 10,United States of America,Megan Althea Paragua,1861,10,4.5,382,64,48,-16,Level B
22,Girls 16,Vietnam,Nguyen Hong Nhung,1697,10,6,370,64,47,-17,Level C
23,Girls 12,Kazakhstan,Zarina Nurgaliyeva,1947,10,4,346,63,45,-18,Level B
24,Girls 12,Russia,Victoria Merkulova,1668,10,4,420,62,44,-18,Level B
25,Girls 18,Georgia,Nia Donghvani,1983,10,1,374,64,44,-20,Level C
26,Girls 10,Vietnam,Thai Hoang Anh Le,1204,10,5,354,69,47,-22,Level C
27,Girls 12,Vietnam,Nguyen Huynh Mai Hoa,1246,10,1.5,312,64,42,-22,Level B
28,Girls 16,Vietnam,Bui Thi Thanh Van Vu,1750,10,4.5,410,64,42,-22,Level B
29,Girls 10,India,Kolagatla Alana Meenakshi,1829,10,0.5,306,80,45,-35,Level B
30,Girls 18,Indonesia,Diajeng Theresa Singgih,1972,10,3,286,83,46,-37,Level C
