Sort,Section,Fed,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
1,Default,Venezuela,Felix Jose Ynojosa Aponte,2393,8,5,180,40,53,13,Level C
2,Default,Serbia,Branislav Kiproski,2300,5,3,220,43,53,10,Level C
3,Default,Mexico,Gerardo An Gracia Alvarez,2308,10,6,367,42,51,9,Level C
4,Default,Indonesia,SATRIAWAN SINGGIH ALVREDO,1801,10,5.5,313,47,54,7,Level C
5,Default,,Oscar Fernando Lopez Godinez,,10,5.5,221,53,59,6,Level D
6,Default,United States of America,Jack Easton,2175,10,7,325,48,54,6,Level C
7,Default,United States of America,Dachey Lin,2222,10,8,318,48,53,5,Level C
8,Default,United States of America,Akshat Chandra,2536,10,6.5,213,53,56,3,Level D
9,Default,United States of America,Craig Hilby,2454,10,7,270,51,53,2,Level D
10,Default,Scotland,Murad Abdulla,2287,10,7.5,262,49,51,2,Level D
11,Default,Romania,Kirill Shevchenko,2599,10,8,297,55,54,-1,Level D
12,Default,Croatia,Leon Livaic,2507,10,8.5,329,50,49,-1,Level B
13,Default,Peru,Mario Oroche Mayta,1825,9,6,328,55,53,-2,Level D
14,Default,Chile,Franco Gasic Merino,2204,9,5.5,331,53,51,-2,Level C
15,Default,Brazil,Pedro Ferreira Lage,2123,10,6,315,49,47,-2,Level B
16,Default,Greece,Anthi - Maria Vozinaki,1861,10,6,309,53,50,-3,Level C
17,Default,Greece,Nikolaos Gouloutis,2362,9,5.5,286,57,53,-4,Level C
18,Default,India,Harshit Raja,2472,10,7.5,322,54,50,-4,Level C
19,Default,Slovakia,Christopher Repka,2491,10,7,294,52,48,-4,Level C
20,Default,Cuba,Karla July Fernandez Rivero,2025,10,6,296,52,48,-4,Level B
21,Default,Greece,Dimitrios Papakonstantinou,,10,7,476,47,43,-4,Level B
22,Default,Portugal,Ricardo Alexandre Luis Santos,2121,8,2.5,183,52,47,-5,Level B
23,Default,Russia,Dandar Shoboev,2185,10,6.5,458,52,46,-6,Level B
24,Default,United States of America,Ruifeng Li,2541,10,8.5,315,57,50,-7,Level C
25,Default,Russia,Rada Danilova,2048,10,7,307,52,45,-7,Level B
26,Default,Peru,Christian Amilca Santiago Vilca,2257,10,7,383,59,49,-10,Level B
27,Default,Greece,Filippos Korniotis,2133,10,6,301,58,48,-10,Level B
28,Default,India,Guha Mitrabha,2445,10,8,334,56,46,-10,Level B
29,Default,Bolivia,Jhoan Mollo,2073,10,7,329,57,46,-11,Level B
30,Default,Greece,Anastasios Koukas,1933,10,5.5,329,56,45,-11,Level B
31,Default,Peru,Carlos Enrique Huarcaya Silloca,1942,9,5.5,290,54,43,-11,Level A
32,Default,Indonesia,Ken Nahel Falsaveta,1594,10,6.5,400,52,41,-11,Level A
33,Default,France,Yannick Kambrath,2375,10,6,292,61,49,-12,Level B
34,Default,Romania,Adrian-Simion Secheres,2375,10,7,297,60,48,-12,Level C
35,Default,France,Quentin Burri,2415,10,7,375,54,42,-12,Level A
36,Default,Netherlands,Bas Van Doren,2032,10,6,269,59,46,-13,Level C
37,Default,China,Qi B Chen,2493,10,8,372,58,45,-13,Level B
38,Default,Greece,Petros Rahmanidis,2132,7,4,218,57,44,-13,Level A
39,Default,FIDE,Mikhail Al. Antipov,2609,10,8.5,325,61,47,-14,Level B
40,Default,Russia,Anna Kochukova,2092,10,7,345,61,47,-14,Level B
41,Default,India,Neelash Saha,2413,10,8,320,58,44,-14,Level A
42,Default,Russia,David Shapiro,2395,10,7,290,62,47,-15,Level B
43,Default,France,Quentin Grataloup,1933,10,6,319,61,46,-15,Level B
44,Default,Peru,Mels Leopold Ccerhuayo Escobedo,2153,10,5.5,327,62,46,-16,Level B
45,Default,Cuba,Melissa Rodriguez Dominguez,2103,10,6,314,61,45,-16,Level B
46,Default,,Arthur Mellinger,,10,5.5,405,60,44,-16,Level B
47,Default,Romania,Petru-Sebastian Ursan,2225,10,6.5,412,59,43,-16,Level B
48,Default,Russia,Anna Afonasieva,2298,10,7,371,58,42,-16,Level A
49,Default,India,P Iniyan,2506,10,8.5,389,57,41,-16,Level A
50,Default,Russia,Polina Shuvalova,2476,10,7.5,326,68,51,-17,Level C
51,Default,Ireland,Peter Carroll,2059,10,5.5,218,68,51,-17,Level C
52,Default,Peru,Raul Celestino,1845,9,6,268,66,49,-17,Level B
53,Default,Armenia,Tigran Azaryan,2115,10,8,330,63,46,-17,Level B
54,Default,Ukraine,Vitalii Dzurak,1894,10,6,277,66,48,-18,Level B
55,Default,Serbia,Milos Krstic,2058,10,5.5,273,62,43,-19,Level B
56,Default,Poland,Maciej Chmielarz,1993,10,6,257,62,43,-19,Level A
57,Default,Brazil,Giovane Santiago Leacima,1884,10,5,284,70,50,-20,Level C
58,Default,Czech Republic,Jan Petr,2282,10,7,294,67,47,-20,Level B
59,Default,Bulgaria,Emil Stefanov,2350,9,4.5,323,66,46,-20,Level B
60,Default,Greece,Zisis Tsaknakis,2236,10,6.5,380,69,48,-21,Level B
61,Default,Belgium,Nicola Capone,2300,10,6,436,60,39,-21,Level A
62,Default,Greece,Konstantinos Kouroglou,1724,7,3.5,230,65,43,-22,Level B
63,Default,Peru,Camila Elizabeth Acevedo Aybar,,5,3,104,64,42,-22,Level A
64,Default,Netherlands,Thomas Kools,2103,10,7,295,63,41,-22,Level A
65,Default,,Pedro Felipe Soares,,10,4,292,61,39,-22,Level A
66,Default,Netherlands,Jord Ypma,2116,10,7,317,71,48,-23,Level B
67,Default,,Van Hoorn Geert,,10,6,327,66,43,-23,Level A
68,,,,,10,5,291,66,43,-23,Level B
69,Default,India,Pradyumn Sakshi,1504,10,5,352,63,40,-23,Level A
70,Default,Iran,Koosha Jaferian,2163,10,7,398,62,39,-23,Level A
71,Default,Cuba,Jonathan Hernandez Ruiz,2024,9,4,332,58,35,-23,Level A
72,Default,Canada,Hou Han Zhang,1813,10,5.5,381,71,47,-24,Level B
73,Default,Greece,Konstantinos Mourogiannis,1833,10,5.5,406,67,43,-24,Level B
74,Default,,Aufa Mochamad Aufa Erditya Pratama,,10,5,299,67,43,-24,Level B
75,Default,Russia,Aleksandr Makarenko,2151,10,6,271,73,47,-26,Level B
76,Default,France,Ivan Tawegoum,1880,10,6,405,68,42,-26,Level A
77,Default,Indonesia,Muhammad Andi Aqil Ramadhan,,10,5,327,67,41,-26,Level A
78,Default,Romania,Maria-Alexandra Ciocan,1982,10,6,256,74,47,-27,Level B
79,Default,Chile,Mario Felipe Constanzo Vivanco,2008,10,6.5,274,70,43,-27,Level A
80,Default,United States of America,Khoa Minh Nguyen,1801,10,4.5,350,68,41,-27,Level A
81,Default,Romania,Andreea-Marioara Cosman,2164,10,5.5,359,67,40,-27,Level A
82,Default,Peru,Rodrigo Moreno Herrera,1633,10,6,192,74,46,-28,Level B
83,Default,Chile,David Cona Jara,1779,10,5.5,344,70,42,-28,Level A
84,Default,Kenya,Lenny Mataiga Shile,1751,10,6,378,68,40,-28,Level A
85,Default,,Akbarkhuja Akramkhujaev,,10,5,232,72,43,-29,Level A
86,Default,,Andrew Shattuck,,10,5.5,299,72,43,-29,Level B
87,Default,Kazakhstan,Alan Kozhamberdiyev,1517,9,4,299,68,39,-29,Level A
88,Default,India,Jwalin Mehta,2086,10,5.5,308,76,46,-30,Level B
89,Default,Indonesia,Pramana Martin Silaen Alberto,1922,10,7,345,74,44,-30,Level A
90,Default,Chile,Jose Patricio Bahamondes Cepeda,1893,10,5,314,70,40,-30,Level A
91,Default,Greece,Aggeliki Grammatikaki,1682,10,4,325,77,46,-31,Level B
92,Default,,Lindokuhle Vukile Sibisi,,10,4.5,202,75,44,-31,Level A
93,Default,India,Kuvelkar Rajaryan,1905,7,3,136,74,43,-31,Level A
94,Default,India,Sumeet Gawande,1360,10,6,366,73,42,-31,Level A
95,Default,Ecuador,Daniel Mejia Teran,1271,10,3.5,224,72,41,-31,Level A
96,Default,Russia,Ivan Gagarin,1725,10,5,337,70,39,-31,Level A
97,Default,Cuba,Jorge Frank Herrera Aruca,1964,10,5,296,72,40,-32,Level B
98,Default,Philippines,Laila Camel Nadera,1618,10,5,386,71,39,-32,Level A
99,Default,Greece,Anastasia Avramidou,2238,9,5.5,350,78,45,-33,Level B
100,Default,,Alexandre Brailovski,,9,4,297,77,43,-34,Level A
101,Default,Namibia,Lazarus Shatipamba,,8,4,176,74,40,-34,Level A
102,Default,England,William Kender,1393,7,1.5,184,68,34,-34,Level A
103,Default,Mongolia,Bold Tsogt-Ochir,,10,5,361,78,43,-35,Level A
104,Default,,Kai Duenez,,10,4.5,308,75,40,-35,Level A
105,Default,China,Yiqian Wu,1922,9,4.5,346,76,40,-36,Level A
106,Default,France,Florine Reau,1738,10,4.5,244,75,39,-36,Level A
