Sort,Section,Fed,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
1,Default,Uzbekistan,Shamsiddin Vokhidov,2529,10,8.5,275,39,56,17,Level C
2,Default,India,P Tayade Atharvaa,1926,10,7.5,314,42,56,14,Level E
3,Default,Peru,Renzo Jos Pelaes Castillo,1493,4,3,70,40,54,14,Level A
4,Default,Cuba,Carlos Daniel Albornoz Cabrera,2573,10,7.5,378,38,52,14,Level C
5,Default,China,Jinshi Bai,2618,10,7.5,431,35,49,14,Level B
6,Default,Armenia,Artyom Manukyan,2148,10,6,362,45,56,11,Level D
7,Default,Russia,Timofey Smirnov,2420,10,8,300,40,51,11,Level C
8,Default,United States of America,Rayan Taghizadeh,2311,8,5.5,217,40,50,10,Level C
9,Default,Israel,Omer Reshef,2495,10,7,265,46,54,8,Level D
10,Default,Georgia,Irakli Beradze,2475,10,8.5,305,43,51,8,Level C
11,Default,United States of America,Cameron Wheeler,2398,9,6,339,41,49,8,Level B
12,Default,Ukraine,Ivan Rushynets,1753,1,1,13,38,46,8,Level A
13,Default,India,Ankit Nandwal,1340,10,6.5,230,49,55,6,Level D
14,Default,Turkiye,Cemil Can Ali Marandi,2543,10,8,406,48,54,6,Level B
15,Default,Romania,Mihnea Costachi,2471,10,8,481,45,51,6,Level C
16,Default,Ukraine,Viktor Matviishen,2512,10,7,297,45,51,6,Level C
17,Default,United States of America,Grigoriy Oparin,2652,10,9,407,43,49,6,Level B
18,Default,United States of America,JOSIAH STEARMAN,2374,10,7.5,370,47,50,3,Level B
19,Default,Peru,Marco Delgado Romero,2282,10,8,428,48,50,2,Level B
20,Default,Armenia,Suren Gesyan,1945,10,6,388,44,45,1,Level B
21,Default,India,Mukherjee Arpita,2206,10,6.5,379,50,50,0,Level C
22,Default,Portugal,Andre Ventura Sousa,2390,10,6.5,348,49,49,0,Level B
23,Default,Canada,Houji Yao,2035,10,6,379,44,44,0,Level B
24,Default,India,Sanjay Kolgane Poras,1858,5,1,75,57,56,-1,Level A
25,Default,Italy,Massimiliano Ballista,1957,10,6,261,53,51,-2,Level C
26,Default,Germany,Marharyta Khrapko,2049,10,6,289,51,49,-2,Level C
27,Default,,Arturo Jonathan Diaz Hernandez,,10,6,396,47,45,-2,Level B
28,Default,Israel,Eyal Grinberg,2491,10,7,293,47,45,-2,Level B
29,Default,Poland,Alicja Sliwicka,2346,10,7.5,343,44,42,-2,Level B
30,Default,France,Alexis Tahay,2366,10,7.5,385,51,48,-3,Level B
31,Default,Cuba,Abel Fabian Lopez Gonzalez,2379,10,6,301,50,47,-3,Level B
32,Default,Indonesia,Anthony Jayanata Luis,1643,10,6,367,49,46,-3,Level B
33,Default,Poland,Lukasz Zaleski,2173,10,6,320,54,50,-4,Level C
34,Default,Greece,Grigorios Drakoulakos,2219,10,7.5,373,47,43,-4,Level B
35,Default,Netherlands,Luuk Baselmans,2251,10,6,345,55,50,-5,Level C
36,Default,Mexico,Carlos Sandoval Mercado,2273,10,7,225,55,50,-5,Level B
37,Default,India,Kundu Kaustuv,2301,10,7,384,51,46,-5,Level B
38,Default,Mexico,Alejandro Lima Martinez,2074,10,6,348,58,52,-6,Level C
39,Default,Poland,Maciej Kowalec,2123,10,6,336,55,49,-6,Level B
40,Default,Armenia,Arman Ghevondyan,1895,9,6,374,53,47,-6,Level B
41,Default,Cuba,Dylan Isidro Berdayes Ason,2445,8,6,282,59,52,-7,Level C
42,Default,Ireland,Conor Nolan,1884,10,6,351,53,46,-7,Level B
43,Default,France,Benjamin Defromont,2246,10,6.5,356,53,46,-7,Level B
44,Default,Mongolia,Uurtsaikh Agibileg,2413,10,6.5,433,55,46,-9,Level B
45,Default,Cuba,Raynner Amaro Alfonso,2186,10,6,296,53,44,-9,Level A
46,Default,Belgium,Pierre Vernimmen,2010,10,6,298,57,46,-11,Level B
47,Default,Indonesia,Anthony Jonathan,1995,10,7,334,65,53,-12,Level B
48,Default,Russia,Mikhail Mentchikov,1907,10,6,308,60,48,-12,Level B
