Sort,Section,Fed,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
1,Default,India,Kathpal Aniket,,10,7.5,263,39,58,19,Level D
2,Default,Netherlands,Robby Kevlishvili,2495,10,8,422,39,53,14,Level C
3,Default,Armenia,Haik M. Martirosyan,2622,10,9,356,42,53,11,Level C
4,Default,Philippines,Rhenzi Kyle Sevillano,2197,10,6,269,46,54,8,Level C
5,Default,FIDE,Aleksei Sarana,2649,10,7.5,345,47,54,7,Level C
6,Default,,Muhammad Lutfi Ali,2399,10,7.5,443,44,49,5,Level C
7,Default,Azerbaijan,Ulvi Bajarani,2458,10,8,351,43,48,5,Level B
8,Default,China,Yinglun Xu,2554,10,8.5,316,45,49,4,Level C
9,Default,United States of America,Sam Schmakel,2435,10,7.5,313,47,50,3,Level C
10,Default,Paraguay,Vazquez Guillermo,2527,10,7.5,336,47,49,2,Level B
11,Default,Malaysia,Kim Yew Chan,2303,10,7,371,44,46,2,Level B
12,Default,Indonesia,Novendra Priasmoro,2502,10,7.5,295,52,51,-1,Level C
13,Default,Mongolia,Sumiya Bilguun,2454,10,8,327,50,49,-1,Level C
14,Default,Cuba,Augusto Cesar Campos Jimenez,2351,10,7,301,49,48,-1,Level B
15,Default,Russia,Sergey Drygalov,2490,10,7,355,50,48,-2,Level B
16,Default,Egypt,Ahmed Alaa Ahmed,2171,8,6,188,49,47,-2,Level B
17,Default,Scotland,Declan Shafi,2166,10,7,298,53,49,-4,Level B
18,Default,Germany,Simon Leeb,2207,10,6.5,364,52,48,-4,Level B
19,Default,United States of America,Gulrukhbegim Tokhirjonova,2362,10,7,315,56,50,-6,Level C
20,Default,Poland,Kamil Dragun,2557,10,6.5,312,51,45,-6,Level B
21,Default,India,Mishra Shreyam,1577,3,1,65,55,48,-7,Level B
22,Default,,Ummi Fisabilillah,2159,10,7,342,54,47,-7,Level B
23,Default,Canada,Christopher Knox,2187,10,6.5,415,52,45,-7,Level B
24,Default,FIDE,Olga Badelka,2428,10,7.5,302,49,42,-7,Level B
25,Default,Mongolia,Erdene-Ochir Nyambileg,2038,10,6.5,266,57,49,-8,Level B
26,Default,Russia,Nikita Fedotov,2311,10,6,291,56,48,-8,Level B
27,Default,Peru,Renzo Jhonathan Rengifo Blancas,2131,10,6.5,551,50,42,-8,Level A
28,Default,Mexico,Alfredo Felix Soto,2075,10,6.5,456,48,40,-8,Level B
29,Default,Peru,German Gonzalo Quirhuayo Chumbe,2296,10,8,375,52,43,-9,Level B
30,Default,Czech Republic,Jan Nosek,1904,10,6,240,58,48,-10,Level B
31,Default,Mongolia,Batsaikhan Otgonsuvd,1837,10,4.5,297,55,45,-10,Level B
32,Default,Greece,Vasil Androutsopoulos-Agiotatos,2144,6,2.5,203,55,45,-10,Level B
33,Default,Mexico,Diego Baltazar Ibanez,2054,10,6.5,329,56,45,-11,Level B
34,Default,Romania,Andrei-Theodor Dolana,2359,10,8,393,55,44,-11,Level B
35,Default,Sri Lanka,Minul Sanjula Doluweera,2139,10,6,222,59,47,-12,Level B
36,Default,Belgium,Quentin Fontaine,2324,10,6,355,58,46,-12,Level B
37,Default,Kyrgyzstan,Kairatbek Abylkasymov,1827,9,5,244,58,46,-12,Level B
38,Default,South Korea,Sung Ho Yim,2281,10,7,334,57,45,-12,Level B
39,Default,Lesotho,Letsatsi Khama,1379,10,5,196,60,47,-13,Level B
40,Default,Philippines,John Merill Jacutina,2254,10,7.5,357,58,45,-13,Level B
41,Default,FIDE,Sergei Lobanov,2516,10,8,369,64,50,-14,Level C
42,Default,India,Abhinav Reddy Bathula,1735,10,5.5,530,58,44,-14,Level A
43,Default,Philippines,Kristine Mae Flores,1613,10,5,240,62,47,-15,Level A
44,Default,Mexico,Hernandez Carlos Al Rangel,1852,10,5.5,419,61,46,-15,Level B
45,Default,Philippines,John Jasper Laxamana,2069,10,5.5,306,61,46,-15,Level B
46,Default,Turkiye,Tuna Ozates,2217,9,5.5,280,56,41,-15,Level A
47,Default,Croatia,Filip Pavic,2243,10,5,257,63,47,-16,Level B
48,Default,Germany,Yankelevich Lev,2389,9,5.5,325,61,45,-16,Level B
49,Default,Italy,Francesco Ferraguti,2067,10,7,356,58,42,-16,Level A
50,Default,Poland,Anna Kubicka,2235,10,7,337,66,49,-17,Level C
