Sort,Section,Fed,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
1,Default,India,Bhargav Abhishek,1177,9,7.5,283,23,69,46,Level D
2,Default,India,Sharma Saurabh,1381,10,7.5,211,39,62,23,Level D
3,Default,Russia,Aleksey Sorokin,2521,7,5,297,41,55,14,Level D
4,Default,Colombia,Joshua Daniel Ruiz Castillo,2502,8,7.5,331,36,50,14,Level C
5,Default,Netherlands,Benjamin Bok,2624,9,7,314,41,49,8,Level C
6,Default,United States of America,David Brodsky,2455,10,7.5,292,47,53,6,Level C
7,Default,Peru,Robert Gutierrez Vargas,1870,9,5,237,48,53,5,Level C
8,Default,Armenia,Hovhannes Gabuzyan,2557,10,9,362,48,52,4,Level C
9,Default,Indonesia,Firman Cahya Wardhana Aji,1936,10,6.5,304,49,52,3,Level C
10,Default,,Yoseph Theolifus Taher,2455,10,9,245,47,49,2,Level B
11,Default,France,Yovann Gatineau,2401,9,7,277,47,49,2,Level B
12,Default,Romania,Radu-Cristian Toma,2385,10,7.5,473,46,48,2,Level B
13,Default,India,Sengupta Arka,1937,10,6.5,334,46,48,2,Level B
14,Default,Kazakhstan,Ivan Mezentsev,2354,10,6.5,427,45,47,2,Level B
15,Default,Cuba,Jorge Roberto Elias Reyes,2428,10,6,231,55,53,-2,Level C
16,Default,Armenia,Anna M. Sargsyan,2383,10,7.5,447,49,47,-2,Level B
17,Default,Chile,Ian Avalos Herrera,1630,10,5,300,49,45,-4,Level B
18,Default,Philippines,Francis Xavier Guimalan,1902,10,6,299,56,51,-5,Level C
19,Default,Kazakhstan,Alen Rakhimzhan,2273,10,7,315,55,50,-5,Level C
20,Default,Canada,Razvan Preotu,2487,10,8,329,54,49,-5,Level B
21,Default,Poland,Igor Janik,2495,10,7.5,484,48,43,-5,Level B
22,Default,Turkiye,Omer Faruk Ozer,2317,9,7,254,58,52,-6,Level C
23,Default,Mexico,Alonso Velo Arredondo,2068,10,7,193,55,49,-6,Level C
24,Default,FIDE,David Paravyan,2647,9,7,403,51,45,-6,Level B
25,Default,Cuba,William Hernandez Gonzalez,2481,10,6,315,55,48,-7,Level B
26,Default,Germany,Lars Goldbeck,2235,9,7,265,53,46,-7,Level B
27,Default,Greece,Nikolas Theodorou,2554,10,8,340,59,51,-8,Level C
28,Default,Poland,Damian Strzalkowski,1585,10,6.5,306,55,47,-8,Level B
