Sort,Section,Fed,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
1,Default,India,Ritabroto Ganguly,1930,3,1,16,11,38,27,Level B
2,Default,Poland,Kamil Dragun,2557,12,9.5,516,30,55,25,Level D
3,Default,Mexico,Gerardo An Gracia Alvarez,2308,12,8,412,36,58,22,Level D
4,Default,China,Qingyu Yuan,2373,12,8,390,38,57,19,Level D
5,Default,,Jes�s Daniel Baeza Mart�nez,,12,7.5,357,40,56,16,Level D
6,Default,Peru,Renzo Jos Pelaes Castillo,1493,6,2.5,230,39,54,15,Level D
7,Default,Peru,Renzo Jhonathan Rengifo Blancas,2131,11,6.5,323,38,52,14,Level C
8,Default,India,Neelash Saha,2413,12,8.5,433,46,59,13,Level D
9,Default,Indonesia,Arif Abdul Hafiz,2234,12,8.5,367,43,56,13,Level D
10,Default,India,Das Soumyajit,1699,9,4.5,237,47,59,12,Level D
11,Default,Croatia,Leon Livaic,2507,12,10,347,41,53,12,Level C
12,Default,Ukraine,Viktor Matviishen,2512,12,9,383,41,53,12,Level C
13,Default,Peru,Wilder Xavier Roman Sanchez,1807,12,7,367,42,53,11,Level C
14,Default,Mexico,Jordi Milburgo Carrera Puig,1778,12,7,393,44,54,10,Level C
15,Default,Romania,Andrei-Theodor Dolana,2359,12,8.5,367,41,51,10,Level C
16,Default,Iran,Koosha Jaferian,2163,12,9,471,44,53,9,Level C
17,Default,Guatemala,Hector Vinicio Cotto Mux,1941,5,3.5,229,38,44,6,Level C
18,Default,Indonesia,Qomara Reyhan,1608,5,1.5,72,41,46,5,Level B
19,Default,Greece,Nikolas Theodorou,2554,12,9,393,46,50,4,Level C
20,Default,Mexico,Servando Rivera Chanttes,1397,12,6,470,42,46,4,Level B
21,Default,FIDE,Vladimir Fedoseev,2687,12,9.5,337,50,53,3,Level D
22,Default,France,Benjamin Defromont,2246,12,7.5,391,48,50,2,Level C
23,Default,Chile,Franco Gasic Merino,2204,12,7.5,389,48,49,1,Level B
24,Default,Egypt,Mohamed Zayan,2132,6,4.5,161,50,50,0,Level C
25,Default,Cuba,Karla July Fernandez Rivero,2025,12,6.5,392,50,49,-1,Level B
26,Default,,Michael Wong Fletcher,,12,7,353,49,48,-1,Level B
27,Default,Kazakhstan,Ivan Mezentsev,2354,12,8,549,53,51,-2,Level C
28,Default,Greece,Anthi - Maria Vozinaki,1861,12,7.5,487,50,48,-2,Level B
29,Default,Eritrea,Debesai Zerabruk Asante,1712,5,2,69,50,48,-2,Level B
30,Default,Cuba,Abel Fabian Lopez Gonzalez,2379,12,8.5,346,55,52,-3,Level C
31,Default,India,Raj Singh Nikhil,1138,7,3.5,233,54,51,-3,Level D
32,Default,Chile,Joaquin Aguirre Adaros,1885,11,5.5,338,50,47,-3,Level B
33,Default,Mexico,Roberto Alejandro Avila Bautista,2001,12,7.5,503,49,46,-3,Level B
34,Default,Ecuador,Bryan Carrasco Jacome,2103,9,3.5,227,49,45,-4,Level B
35,Default,Mexico,Carlos Sandoval Mercado,2273,12,8,473,54,49,-5,Level C
36,Default,,Prakhar Nigam,,12,5.5,273,50,45,-5,Level B
37,Default,Philippines,Rhenzi Kyle Sevillano,2197,12,7,372,53,47,-6,Level B
38,Default,,Pierre-Louis Bailly,,12,6.5,389,49,43,-6,Level B
39,Default,Poland,Michal Powalka,1969,12,8,350,58,51,-7,Level C
40,Default,Cuba,Dylan Isidro Berdayes Ason,2445,12,7.5,367,55,48,-7,Level B
41,Default,Netherlands,Jord Ypma,2116,3,2,61,53,46,-7,Level C
42,Default,France,Etienne Grancher,1989,12,6,224,51,44,-7,Level B
43,Default,India,Kundu Kaustuv,2301,9,5,172,60,52,-8,Level C
44,Default,India,Abhinav Reddy Bathula,1735,12,8,389,59,51,-8,Level C
45,Default,India,Isha Sharma,2256,12,8.5,434,59,49,-10,Level C
46,Default,England,Gautam Jain,1900,12,6.5,365,57,47,-10,Level B
47,Default,Mexico,Andrei Heredia Madrigal,2040,12,7.5,344,56,46,-10,Level B
48,Default,India,Pattanayak Nabanita,1465,9,7,186,62,49,-13,Level C
49,Default,Portugal,Rita Alexandra L Silva Santos,1606,12,6.5,352,61,48,-13,Level B
50,Default,,Abel David Palafox Gea,,6,2.5,112,60,47,-13,Level B
51,Default,Peru,German Gonzalo Quirhuayo Chumbe,2296,12,8,526,60,47,-13,Level C
52,Default,Philippines,Franchell Eds Javier,1732,12,7,264,59,46,-13,Level B
53,Default,India,Roy Chaudhary Rohit,1519,7,1,198,65,51,-14,Level C
54,Default,,Vassil Kroumov,,11,4.5,367,62,48,-14,Level B
55,Default,Russia,Nikita Fedotov,2311,4,2,104,64,49,-15,Level B
56,Default,Russia,Galina Krapivina,1968,10,7.5,290,64,49,-15,Level B
57,Default,Cuba,Leancy B. Fernandez Bustamante,2080,11,5.5,371,63,48,-15,Level B
58,Default,Peru,Gianella Francia Arzapalo,1701,11,5,300,56,41,-15,Level A
59,Default,Cuba,Melissa Rodriguez Dominguez,2103,12,7,419,61,45,-16,Level B
60,Default,Brazil,Matheus dos Santos Ramos,,11,6.5,265,58,42,-16,Level B
