Sort,Section,Fed,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
1,Default,India,Sanjay Kolgane Poras,1858,5,4,105,39,65,26,Level D
2,Default,,Harsh Dwivedi,,1,0,24,44,67,23,Level C
3,Default,Mongolia,Uurtsaikh Agibileg,2413,12,8.5,489,36,58,22,Level D
4,Default,Peru,Mario Oroche Mayta,1825,6,3,210,39,55,16,Level D
5,Default,China,Yukun Wang,2117,12,9,371,39,52,13,Level C
6,Default,United States of America,Grigoriy Oparin,2652,12,11,397,37,50,13,Level C
7,Default,France,Yovann Gatineau,2401,3,2,93,44,55,11,Level D
8,Default,India,P Iniyan,2506,12,8.5,370,42,53,11,Level C
9,Default,France,Yannick Kambrath,2375,12,8.5,326,41,51,10,Level C
10,Default,China,Yinglun Xu,2554,12,9,411,40,50,10,Level C
11,Default,,Sabina Huseynova,,12,5.5,211,52,61,9,Level D
12,Default,Croatia,Daniel Vojak,2232,12,8,367,45,52,7,Level C
13,Default,Netherlands,Thomas Kools,2103,12,7,374,46,52,6,Level C
14,Default,Cuba,William Hernandez Gonzalez,2481,11,7,379,44,50,6,Level C
15,Default,Kyrgyzstan,Kairatbek Abylkasymov,1827,12,6.5,436,47,52,5,Level C
16,Default,Serbia,Luka Vojinovic,2265,12,7,422,46,50,4,Level C
17,Default,Croatia,Luka Matanovic,2251,12,7.5,368,46,50,4,Level C
18,Default,Ukraine,Iulija Osmak,2428,12,9,359,44,48,4,Level C
19,Default,Cuba,Jorge Marcos Gomez Sanchez,2352,12,7,529,48,51,3,Level C
20,Default,England,Daniel GH Gallagher,2205,12,8,352,51,53,2,Level C
21,Default,Israel,Eyal Grinberg,2491,12,10,418,50,52,2,Level C
22,Default,Greece,Aggeliki Grammatikaki,1682,12,6.5,413,45,47,2,Level B
23,Default,France,Matteo Grolleau,1804,12,6.5,364,50,51,1,Level C
24,Default,India,Shabdhik Varma,1899,11,7,361,50,51,1,Level C
25,Default,Poland,Marcin Rosicki,2023,11,6.5,303,49,50,1,Level C
26,Default,Indonesia,Michael Owen,1991,12,7.5,345,52,52,0,Level C
27,Default,Cuba,Marcos Antonio Morales Marmol,2241,12,7.5,402,49,49,0,Level B
28,Default,Cuba,Raynner Amaro Alfonso,2186,12,7.5,385,46,45,-1,Level B
29,Default,,Christian Joel Navarro Ru�z,,12,6.5,513,49,47,-2,Level B
