Sort,Section,Fed,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
1,Default,Slovakia,Christopher Repka,2491,12,8,427,34,60,26,Level A
2,Default,Cuba,Carlos Daniel Albornoz Cabrera,2573,12,9.5,556,32,55,23,Level A
3,Default,Armenia,Suren Gesyan,1945,12,8,459,37,56,19,Level A
4,Default,Russia,Dandar Shoboev,2185,7,6,354,32,51,19,Level A
5,Default,Lithuania,Tomas Laurusas,2505,12,8.5,426,40,54,14,Level A
6,Default,Kazakhstan,Bakhytzhan Kembayev,2054,12,8,479,38,52,14,Level A
7,Default,Turkiye,Cemil Can Ali Marandi,2543,12,10,387,39,52,13,Level C
8,Default,Ukraine,Volodymyr Medvedyk,2159,12,6.5,341,44,56,12,Level A
9,Default,England,Harry Grieve,2351,11,7.5,359,44,55,11,Level A
10,Default,Greece,Georgios-Alexandros Kouskoutis,2231,12,8.5,368,42,53,11,Level C
11,Default,Italy,Francesco Ferraguti,2067,12,8.5,432,45,54,9,Level D
12,Default,,Kulvinder .,,9,5,322,43,50,7,Level A
13,Default,Belgium,Quentin Fontaine,2324,12,9,483,42,49,7,Level A
14,Default,India,Jwalin Mehta,2086,12,7,508,48,54,6,Level A
15,Default,Russia,Semen Elistratov,2401,11,7.5,378,48,53,5,Level C
16,Default,Kazakhstan,Alan Kozhamberdiyev,1517,12,6.5,431,43,48,5,Level A
17,Default,FIDE,Olga Badelka,2428,12,8,401,48,51,3,Level C
18,Default,Cuba,Jorge Frank Herrera Aruca,1964,12,7,365,44,47,3,Level A
19,Default,Romania,Radu-Cristian Toma,2385,12,8,611,43,46,3,Level A
20,Default,Egypt,Amir Mokhtar,1665,6,1.5,86,41,44,3,Level A
21,Default,Kazakhstan,Alen Rakhimzhan,2273,12,8,495,45,47,2,Level A
22,Default,Canada,Razvan Preotu,2487,12,7.5,295,52,53,1,Level C
23,Default,Mongolia,Sumiya Bilguun,2454,12,8.5,431,52,51,-1,Level A
24,Default,,Xiangdong Kong,,12,7,494,48,47,-1,Level A
25,Default,Bulgaria,Gabriela Antova,2250,12,7.5,375,55,53,-2,Level A
26,Default,United States of America,Michael Wang,2133,12,9,437,54,52,-2,Level A
27,Default,Zimbabwe,Prince RAPOZA,1671,11,6,275,55,52,-3,Level A
28,Default,,Papagiannis Nikos,,12,6,552,50,47,-3,Level A
29,Default,Germany,Richard Muckle,2038,11,7,528,54,50,-4,Level A
30,Default,,Swetaa Snigdhha,,10,7,444,55,50,-5,Level A
31,Default,Mexico,Andrea Molina Mendoza,1541,6,2.5,143,52,47,-5,Level A
32,Default,Peru,Christian Andre Guzman Miraval,1776,12,8,583,51,46,-5,Level A
33,Default,France,Alexis Cahen,2140,4,1.5,163,40,35,-5,Level A
34,Default,Ukraine,Vitaly Stasiuk,1855,12,7,416,56,50,-6,Level A
35,Default,Chile,Enrique Simpson Bonta,1913,12,7.5,370,54,48,-6,Level A
36,Default,Brazil,Kathie Goulart Librelato,2165,12,8,291,61,54,-7,Level A
37,Default,Mexico,Gerardo Renovato  Martinez,,12,7,374,59,51,-8,Level A
38,Default,Netherlands,Chiel Koster,1913,12,6.5,416,56,48,-8,Level A
39,Default,Ukraine,Nadezhda Salah,2026,12,7.5,495,57,47,-10,Level A
40,Default,Mexico,Axel Alberto Diaz Espinoza,1641,12,6.5,345,56,46,-10,Level A
41,Default,Belgium,Maximilien Dallemagne,2100,11,6.5,339,59,48,-11,Level A
42,Default,,Mihail Anghelici,,5,2,215,58,47,-11,Level A
43,Default,Peru,Stephanie Beatriz Puppi Lazo,1992,12,7,416,55,44,-11,Level B
44,Default,Egypt,Hany George Dawod,1523,12,6,378,62,49,-13,Level A
45,Default,Greece,Kyriaki Kalyva,1823,12,7,350,62,48,-14,Level A
46,Default,Mexico,Kevin Ozuna Ramos,1935,12,7,349,59,45,-14,Level A
47,Default,Russia,Darya Gorovenko,2106,12,8,467,58,44,-14,Level A
