Sort,Section,Fed,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
1,Default,FIDE,Mikhail Al. Antipov,2609,12,11.5,459,32,58,26,Level D
2,Default,India,Harshit Raja,2472,12,9.5,368,34,57,23,Level D
3,Default,Germany,Julius Muckle,2423,12,9,445,35,56,21,Level D
4,Default,Israel,Omer Reshef,2495,12,7.5,446,39,58,19,Level D
5,Default,Netherlands,Benjamin Bok,2624,12,10,444,34,53,19,Level D
6,Default,Poland,Julia Antolak,2306,12,9,482,34,52,18,Level C
7,Default,Kenya,Boera Robert,1716,3,2,75,34,49,15,Level C
8,Default,,Tanguy ROUSTAN,,6,3,60,44,58,14,Level D
9,Default,Indonesia,Novendra Priasmoro,2502,7,2.5,194,40,54,14,Level C
10,Default,United States of America,Cameron Wheeler,2398,12,8,377,38,51,13,Level C
11,Default,Indonesia,Aji Bagus Wicaksono,,12,7,412,42,54,12,Level C
12,Default,Paraguay,Vazquez Guillermo,2527,12,8,409,43,53,10,Level C
13,Default,Belarus,Dmitrij Kirilin,2093,12,8,484,38,46,8,Level C
14,Default,Sri Lanka,Minul Sanjula Doluweera,2139,12,8,292,52,59,7,Level D
15,Default,Philippines,Angelo Villar Miguel,,5,1,74,48,54,6,Level C
16,Default,,Yoseph Theolifus Taher,2455,12,8.5,430,44,49,5,Level B
17,Default,Brazil,Pedro Ferreira Lage,2123,12,7.5,398,43,48,5,Level B
18,Default,Greece,Grigorios Drakoulakos,2219,12,8.5,393,43,48,5,Level B
19,Default,,Rafael Cavalcanti de Oliveira Fonseca Barbosa,,12,6.5,337,50,54,4,Level D
20,Default,Greece,Konstantinos Triantos,2210,12,8,291,45,49,4,Level B
21,Default,Mongolia,Byambasuren Garidmagnai,2369,12,8.5,378,50,53,3,Level C
22,Default,Germany,Marharyta Khrapko,2049,12,8,483,43,46,3,Level C
23,Default,Greece,Stavroula Tsolakidou,2379,12,9,322,50,52,2,Level C
24,Default,Kazakhstan,Kazybek Umbetov,2073,12,8,485,51,52,1,Level C
25,Default,United States of America,Ricardo Peredo,,8,4.5,241,50,51,1,Level C
26,Default,Bulgaria,Emil Stefanov,2350,12,7.5,506,48,47,-1,Level B
27,Default,United States of America,Jack Easton,2175,12,8,444,52,50,-2,Level C
28,Default,Russia,Ruslan Nekrasov,1745,12,7,340,50,48,-2,Level B
29,Default,Poland,Maciej Chmielarz,1993,12,8,327,55,51,-4,Level C
30,Default,Russia,Mikhail Mentchikov,1907,12,7,407,52,48,-4,Level B
31,Default,Spain,David Villacorta Nicolas,2153,12,8,412,47,43,-4,Level B
32,Default,,Rylan Gomes,,10,5.5,282,53,48,-5,Level B
33,Default,Greece,Anastasia Avramidou,2238,12,8,406,50,45,-5,Level B
34,Default,Malaysia,Kim Yew Chan,2303,12,7,368,54,47,-7,Level B
35,Default,China,Haoyou Deng,1672,12,6,365,53,46,-7,Level B
36,Default,,Dominik Rzeszowski,,12,6,272,60,52,-8,Level C
37,Default,Russia,Polina Gutkovich,2110,12,7.5,331,54,46,-8,Level B
38,Default,South Korea,Sung Ho Yim,2281,12,7,237,57,48,-9,Level B
39,Default,Russia,Maksim Lekomtsev,1847,12,6.5,350,53,44,-9,Level A
40,Default,,Jingzhe Zeng,,12,7.5,385,54,44,-10,Level B
41,Default,Poland,Jan Kabzinski,1558,12,6,431,59,48,-11,Level B
42,Default,Mongolia,Tumurbaatar Nomindalai,2111,12,7.5,379,59,48,-11,Level C
43,Default,Greece,Dimitrios Thes Papakonstantinou,2251,12,8,316,58,47,-11,Level B
44,Default,Russia,Dmitriy Tretiakov,1997,12,8,307,61,49,-12,Level B
45,Default,Peru,Heidy Nicole Garcia Andrada,1912,12,8,430,59,47,-12,Level B
46,Default,Mexico,Hugo Israel Hernandez santos,1592,12,7,358,57,45,-12,Level B
47,Default,Croatia,Marko Djukin,2011,12,6.5,277,62,49,-13,Level C
48,Default,Panama,Diego Herrera,1832,12,6.5,395,60,46,-14,Level B
49,Default,Chile,Joaquin Fica Cruz,1949,12,6.5,389,59,45,-14,Level B
50,Default,Chile,Jose Patricio Bahamondes Cepeda,1893,12,7,401,57,43,-14,Level A
51,Default,India,Dahiya Yash,1286,12,7,355,57,42,-15,Level A
52,Default,,Zihang Zou,,12,5,385,62,46,-16,Level B
53,Default,Portugal,Tiago Saraiva Fernandes,1957,12,6.5,266,65,48,-17,Level B
