Sort,Section,Fed,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
1,Default,Netherlands,Robby Kevlishvili,2495,12,10,373,28,58,30,Level D
2,Default,Uzbekistan,Shamsiddin Vokhidov,2529,12,9.5,432,27,57,30,Level D
3,Default,China,Jinshi Bai,2618,12,8.5,480,28,57,29,Level D
4,Default,Russia,David Shapiro,2395,6,3.5,228,34,56,22,Level D
5,Default,United States of America,Sam Schmakel,2435,12,8.5,395,34,55,21,Level D
6,Default,Azerbaijan,Ulvi Bajarani,2458,12,8.5,468,32,50,18,Level C
7,Default,,Rashad Mahmudzada,,12,8,382,40,57,17,Level D
8,Default,United States of America,David Brodsky,2455,12,8.5,407,39,56,17,Level D
9,Default,,Kundan Kumar,,11,7.5,286,43,59,16,Level D
10,Default,Greece,Dimitrios Papakonstantinou,2049,12,9,350,45,60,15,Level D
11,Default,United States of America,Akshat Chandra,2536,12,10,464,37,51,14,Level C
12,Default,Indonesia,Constantius Leonardo Pratama,2096,11,6.5,346,38,50,12,Level C
13,Default,Germany,Ferdinand Xiong,2211,12,7.5,382,43,53,10,Level C
14,Default,China,Yuxin Du,2014,12,7.5,480,37,47,10,Level C
15,Default,India,Anand Saurabh,2304,12,8,283,45,54,9,Level C
16,Default,Greece,Anastasios Koukas,1933,12,7,393,39,48,9,Level C
17,Default,Poland,Igor Janik,2495,8,6,330,43,51,8,Level C
18,Default,India,Sharma Kunal,1324,11,6.5,391,44,51,7,Level D
19,Default,India,Ghosh Samriddhaa,1910,12,6.5,337,48,54,6,Level C
20,Default,Venezuela,Felix Jose Ynojosa Aponte,2393,10,5,175,48,53,5,Level C
21,Default,Georgia,Ana Shamatava,2155,12,8,420,51,52,1,Level C
22,Default,Poland,Alicja Sliwicka,2346,12,8.5,422,49,50,1,Level C
23,Default,United States of America,Gulrukhbegim Tokhirjonova,2362,12,7.5,404,49,49,0,Level B
24,Default,Italy,Massimiliano Ballista,1957,12,7.5,292,52,51,-1,Level C
25,Default,Poland,Anna Kubicka,2235,12,8,415,51,50,-1,Level C
